preprocessing_mode,null_type,replicate,T_sep,T_sep_rel
month_centered,countywise_circular_shift,77,3.797415609312782e-21,0.008739087892129193
month_centered,countywise_circular_shift,78,4.1019836327831464e-21,0.009404511385769324
month_centered,countywise_circular_shift,79,4.02658477551849e-21,0.009228487936511175
month_centered,countywise_circular_shift,80,4.643418182235944e-21,0.010655359873688224
month_centered,countywise_circular_shift,81,4.298294115222524e-21,0.009830478806446451
month_centered,countywise_circular_shift,82,4.19199391938632e-21,0.00957273151285284
month_centered,countywise_circular_shift,83,3.789401892635549e-21,0.00869546127709987
month_centered,countywise_circular_shift,84,3.391219606419069e-21,0.007754836699912377
month_centered,countywise_circular_shift,85,4.521928250321097e-21,0.01039270242788216
month_centered,countywise_circular_shift,86,3.3867007864261088e-21,0.007773725720859554
month_centered,countywise_circular_shift,87,3.474674231066092e-21,0.007958440354757514
month_centered,countywise_circular_shift,88,3.5140457240112564e-21,0.008060589798934327
month_centered,countywise_circular_shift,89,3.87932342734219e-21,0.00887114469185288
month_centered,countywise_circular_shift,90,3.839960718588468e-21,0.008778674331388531
month_centered,countywise_circular_shift,91,3.742811882637892e-21,0.008553270440836534
month_centered,countywise_circular_shift,92,4.4839897029160985e-21,0.010263439332493607
month_centered,countywise_circular_shift,93,3.7047614668055106e-21,0.008530757651140366
month_centered,countywise_circular_shift,94,3.910468811455789e-21,0.008950080542987893
month_centered,countywise_circular_shift,95,4.324510814650109e-21,0.009891106701770954
month_centered,countywise_circular_shift,96,3.820870999390474e-21,0.008751621778065597
month_centered,countywise_circular_shift,97,4.026427668605993e-21,0.009261696599021107
month_centered,countywise_circular_shift,98,4.485487194492781e-21,0.010238730616493252
month_centered,countywise_circular_shift,99,3.395380244930033e-21,0.007808596465429393
month_centered,countywise_circular_shift,100,4.142680979839836e-21,0.009490926899779931
month_centered,countywise_circular_shift,101,3.724927018534502e-21,0.008543497350441397
month_centered,countywise_circular_shift,102,4.39112467053142e-21,0.01004638666400682
month_centered,countywise_circular_shift,103,4.17925050857019e-21,0.009570863558808075
month_centered,countywise_circular_shift,104,4.360662769621748e-21,0.009973638860648037
month_centered,countywise_circular_shift,105,4.230111298842823e-21,0.009685802785500219
month_centered,countywise_circular_shift,106,4.3799341077968556e-21,0.010036874070352053
month_centered,countywise_circular_shift,107,4.3662413728028184e-21,0.009994520524931277
month_centered,countywise_circular_shift,108,4.26016423995627e-21,0.00976489052451725
month_centered,countywise_circular_shift,109,3.956238955418805e-21,0.009081097884052971
month_centered,countywise_circular_shift,110,4.651989538959504e-21,0.0106281984754608
month_centered,countywise_circular_shift,111,3.559312171978895e-21,0.00816674259984358
month_centered,countywise_circular_shift,112,3.625174299677747e-21,0.00828031794191521
month_centered,countywise_circular_shift,113,4.138967384646068e-21,0.009487229611366438
month_centered,countywise_circular_shift,114,3.8339558621422604e-21,0.008804398476354721
month_centered,countywise_circular_shift,115,3.8308571338000216e-21,0.008785656184435048
month_centered,countywise_circular_shift,116,4.170477476730774e-21,0.00957212140629345
month_centered,countywise_circular_shift,117,5.2294951200265544e-21,0.01194121491650371
month_centered,countywise_circular_shift,118,3.748303430264245e-21,0.008584257866132934
month_centered,countywise_circular_shift,119,4.2518871343413635e-21,0.009713924446341823
month_centered,countywise_circular_shift,120,3.7906585979658365e-21,0.008747620456135
month_centered,countywise_circular_shift,121,4.861106682908042e-21,0.011104560946751094
month_centered,countywise_circular_shift,122,3.637201105145706e-21,0.008370350427142504
month_centered,countywise_circular_shift,123,3.434845729412752e-21,0.0079307435673969
month_centered,countywise_circular_shift,124,4.219615895423476e-21,0.009630164588488789
month_centered,countywise_circular_shift,125,4.390905044743961e-21,0.01001348237364133
month_centered,countywise_circular_shift,126,3.68889259771504e-21,0.008464437228920684
month_centered,countywise_circular_shift,127,4.049783257945396e-21,0.009232998382397948
month_centered,countywise_circular_shift,128,4.0036070828493296e-21,0.009143822483955318
month_centered,countywise_circular_shift,129,3.962987093460374e-21,0.009066688993801269
month_centered,countywise_circular_shift,130,4.211779146192122e-21,0.009659392228842802
month_centered,countywise_circular_shift,131,4.092037172111634e-21,0.009382129754682566
month_centered,countywise_circular_shift,132,3.9866483833823214e-21,0.009142879217113584
month_centered,countywise_circular_shift,133,4.0954129086595076e-21,0.0093678443869156
month_centered,countywise_circular_shift,134,3.764273739995927e-21,0.008651962882089883
month_centered,countywise_circular_shift,135,4.222050336649343e-21,0.009755307847028256
month_centered,countywise_circular_shift,136,4.821135516614329e-21,0.010981557720459107
month_centered,countywise_circular_shift,137,3.739761127669495e-21,0.008564766039483916
month_centered,countywise_circular_shift,138,4.043703466936694e-21,0.009256366402658811
month_centered,countywise_circular_shift,139,3.935572284516569e-21,0.009030936433216251
month_centered,countywise_circular_shift,140,4.3999452405519816e-21,0.010056483125446542
month_centered,countywise_circular_shift,141,4.0768851686880505e-21,0.009354070046650172
month_centered,countywise_circular_shift,142,4.8511579618988645e-21,0.011090583464454316
month_centered,countywise_circular_shift,143,3.738919541604255e-21,0.008549392794237222
month_centered,countywise_circular_shift,144,5.3673405774176154e-21,0.01225191403497343
month_centered,countywise_circular_shift,145,4.178870886066157e-21,0.009563017115491273
month_centered,countywise_circular_shift,146,4.68022469840243e-21,0.010722025678319156
month_centered,countywise_circular_shift,147,3.928229742804899e-21,0.00902017037451855
month_centered,countywise_circular_shift,148,3.6654206932415835e-21,0.008384667107748819
month_centered,countywise_circular_shift,149,4.1534041365583375e-21,0.009511128499021254
month_centered,countywise_circular_shift,150,4.4465161388778235e-21,0.010174937407147925
month_centered,countywise_circular_shift,151,4.825114925538653e-21,0.011031097236022027
month_centered,countywise_circular_shift,152,3.945052581487225e-21,0.009072336447764265
month_centered,countywise_circular_shift,153,4.220710266808907e-21,0.009653739118433334
month_centered,countywise_circular_shift,154,4.9501632003520136e-21,0.01129618402368335
month_centered,countywise_circular_shift,155,4.523017628682023e-21,0.010362025346053778
month_centered,countywise_circular_shift,156,4.694477830543075e-21,0.01069450635855748
month_centered,countywise_circular_shift,157,4.272169302887168e-21,0.009784261682230818
month_centered,countywise_circular_shift,158,4.232485815614149e-21,0.009680251671922034
month_centered,countywise_circular_shift,159,3.985807070170103e-21,0.009120095765004018
month_centered,countywise_circular_shift,160,4.27507709123216e-21,0.009772413107025252
month_centered,countywise_circular_shift,161,4.0021203922326216e-21,0.009208845429338627
month_centered,countywise_circular_shift,162,5.527204962800815e-21,0.012573966686625748
month_centered,countywise_circular_shift,163,3.8342004069431875e-21,0.008777215017077204
month_centered,countywise_circular_shift,164,4.140631493499467e-21,0.009484683741061385
month_centered,countywise_circular_shift,165,4.0702128106142945e-21,0.009308457501531283
month_centered,countywise_circular_shift,166,4.2679385408032836e-21,0.0097361666021681
month_centered,countywise_circular_shift,167,4.020981020290642e-21,0.009224899841063242
month_centered,countywise_circular_shift,168,4.0532544738694525e-21,0.009303880097031224
month_centered,countywise_circular_shift,169,3.8367284378429984e-21,0.008815958775337447
month_centered,countywise_circular_shift,170,3.9028878947667886e-21,0.008933679443884797
month_centered,countywise_circular_shift,171,4.390166135605545e-21,0.010026100885688252
month_centered,countywise_circular_shift,172,4.343925181592835e-21,0.009940382325214787
month_centered,countywise_circular_shift,173,3.4718635603641595e-21,0.007983463078224423
month_centered,countywise_circular_shift,174,5.889147989873973e-21,0.013383079717994099
month_centered,countywise_circular_shift,175,3.917701122689334e-21,0.009001248498091233
month_centered,countywise_circular_shift,176,4.3051962885956695e-21,0.009846196834807974
month_centered,countywise_circular_shift,177,4.054626005121272e-21,0.009260856682998662
month_centered,countywise_circular_shift,178,4.170261124507936e-21,0.009588642756166901
month_centered,countywise_circular_shift,179,4.177167907115706e-21,0.00952595726482104
month_centered,countywise_circular_shift,180,3.760071749891384e-21,0.008640280290509637
month_centered,countywise_circular_shift,181,3.905112164059628e-21,0.008952682432791058
month_centered,countywise_circular_shift,182,3.946385752410764e-21,0.00903183428664755
month_centered,countywise_circular_shift,183,3.614097347698051e-21,0.008271364059724343
month_centered,countywise_circular_shift,184,4.465849051756305e-21,0.010205482819468398
month_centered,countywise_circular_shift,185,4.214436146550239e-21,0.009670113240155534
month_centered,countywise_circular_shift,186,4.166054805126193e-21,0.009573625802400135
month_centered,countywise_circular_shift,187,3.594552428398011e-21,0.008255063265262852
month_centered,countywise_circular_shift,188,3.4300461988257585e-21,0.00787411990991182
month_centered,countywise_circular_shift,189,3.636214363317859e-21,0.008352057830421755
month_centered,countywise_circular_shift,190,3.807122600553693e-21,0.008752303559094808
month_centered,countywise_circular_shift,191,4.073352319832338e-21,0.00937736276625616
month_centered,countywise_circular_shift,192,4.374042568464965e-21,0.010009743593217187
month_centered,countywise_circular_shift,193,3.9021972220693196e-21,0.008966218264861327
month_centered,countywise_circular_shift,194,3.9775756595155406e-21,0.009134435467414957
month_centered,countywise_circular_shift,195,4.0724465304179424e-21,0.009336496051998579
month_centered,countywise_circular_shift,196,4.396569210506206e-21,0.010027270876066254
month_centered,countywise_circular_shift,197,4.2306120151760056e-21,0.009720365874245138
month_centered,countywise_circular_shift,198,4.6395633687295166e-21,0.010625584367362198
month_centered,countywise_circular_shift,199,3.754685505637004e-21,0.00861690676872155
month_centered,global_time_block_permutation,0,6.620031822212616e-21,0.015952514168019898
month_centered,global_time_block_permutation,1,6.219395559121344e-21,0.015068650806837723
month_centered,global_time_block_permutation,2,6.888696902637131e-21,0.016327796279794752
month_centered,global_time_block_permutation,3,6.53979995923196e-21,0.01570055276207784
month_centered,global_time_block_permutation,4,6.601342874762162e-21,0.01580488431486615
month_centered,global_time_block_permutation,5,7.148074891567067e-21,0.017026499521044635
month_centered,global_time_block_permutation,6,6.581045902187598e-21,0.01581671018050646
month_centered,global_time_block_permutation,7,6.732499359370258e-21,0.016018390042360744
month_centered,global_time_block_permutation,8,6.865024407925225e-21,0.01632809277708368
month_centered,global_time_block_permutation,9,6.749731292974252e-21,0.016126391523675274
month_centered,global_time_block_permutation,10,6.603518802996472e-21,0.015739557234528943
month_centered,global_time_block_permutation,11,6.6474932828247354e-21,0.015847783840106586
month_centered,global_time_block_permutation,12,6.643738055799013e-21,0.01580398564177367
month_centered,global_time_block_permutation,13,6.620730747284635e-21,0.015816900821967773
month_centered,global_time_block_permutation,14,6.443565708391805e-21,0.015259741886140427
month_centered,global_time_block_permutation,15,6.621223981771376e-21,0.01591833168921894
month_centered,global_time_block_permutation,16,6.4849169000068914e-21,0.015574233836541263
month_centered,global_time_block_permutation,17,6.7566808133173745e-21,0.01609278726546232
month_centered,global_time_block_permutation,18,7.59818330094302e-21,0.0179087526329774
month_centered,global_time_block_permutation,19,7.112089248912378e-21,0.01705702541140903
month_centered,global_time_block_permutation,20,6.837084950193254e-21,0.016221567373197625
month_centered,global_time_block_permutation,21,7.219927245385936e-21,0.01715622867334824
month_centered,global_time_block_permutation,22,6.404498301954368e-21,0.0152850068543091
month_centered,global_time_block_permutation,23,6.5461199474434516e-21,0.015559151970238
month_centered,global_time_block_permutation,24,6.38537954497654e-21,0.01535643783443636
month_centered,global_time_block_permutation,25,6.58907228771951e-21,0.01571374935088827
month_centered,global_time_block_permutation,26,6.354933887151937e-21,0.015159640733558606
month_centered,global_time_block_permutation,27,6.123162482977088e-21,0.014721041810919254
month_centered,global_time_block_permutation,28,7.061706523694177e-21,0.016837712452910755
month_centered,global_time_block_permutation,29,6.616631510167124e-21,0.015793676869362477
month_centered,global_time_block_permutation,30,7.066303294173343e-21,0.016688796987781737
month_centered,global_time_block_permutation,31,6.591457069510764e-21,0.015998567931971703
month_centered,global_time_block_permutation,32,6.810715879639453e-21,0.016330215833350804
month_centered,global_time_block_permutation,33,6.5917952742756454e-21,0.015641637168084484
month_centered,global_time_block_permutation,34,6.079171006337565e-21,0.014521944188665361
month_centered,global_time_block_permutation,35,6.460816083006798e-21,0.01553904184320629
month_centered,global_time_block_permutation,36,6.4548146455915876e-21,0.015463586521685004
month_centered,global_time_block_permutation,37,6.74705482353277e-21,0.016165076591768666
month_centered,global_time_block_permutation,38,6.751678572882099e-21,0.016211808869496837
month_centered,global_time_block_permutation,39,7.512041636018356e-21,0.017657367222236764
month_centered,global_time_block_permutation,40,6.89159989224589e-21,0.01626309116373438
month_centered,global_time_block_permutation,41,6.615084255932407e-21,0.015962255353981363
month_centered,global_time_block_permutation,42,6.780710744374741e-21,0.01628612267807187
month_centered,global_time_block_permutation,43,5.891382356420282e-21,0.014118912196696089
month_centered,global_time_block_permutation,44,6.623114783760393e-21,0.01584086695933426
month_centered,global_time_block_permutation,45,6.29682196169036e-21,0.015150149616943307
month_centered,global_time_block_permutation,46,6.66031059254891e-21,0.015834146507432038
month_centered,global_time_block_permutation,47,7.255562028959727e-21,0.017253719313711315
month_centered,global_time_block_permutation,48,7.029890333814346e-21,0.016527105636691013
month_centered,global_time_block_permutation,49,6.805872105940546e-21,0.016199961177699083
month_centered,global_time_block_permutation,50,6.681950019345271e-21,0.016024594803835064
month_centered,global_time_block_permutation,51,6.833491733747621e-21,0.0160728728757276
month_centered,global_time_block_permutation,52,6.969178713138079e-21,0.016520070738435238
month_centered,global_time_block_permutation,53,6.6221073599786746e-21,0.01605308199372944
month_centered,global_time_block_permutation,54,6.134461889796478e-21,0.014738675671232732
month_centered,global_time_block_permutation,55,6.3722380022508804e-21,0.015314625905462707
month_centered,global_time_block_permutation,56,6.48543618298718e-21,0.015460270613219093
month_centered,global_time_block_permutation,57,6.665770829438059e-21,0.01588713862096582
month_centered,global_time_block_permutation,58,6.860666025920267e-21,0.016387196559582682
month_centered,global_time_block_permutation,59,7.004259443424275e-21,0.016767945884229227
month_centered,global_time_block_permutation,60,6.631977951260137e-21,0.015580404335280858
month_centered,global_time_block_permutation,61,6.327360962081596e-21,0.015125272813586851
month_centered,global_time_block_permutation,62,6.443169008594975e-21,0.01536159520851681
month_centered,global_time_block_permutation,63,6.1382569718469965e-21,0.01472592837391536
month_centered,global_time_block_permutation,64,6.960730844506563e-21,0.01659858349383736
month_centered,global_time_block_permutation,65,6.84249394668047e-21,0.016386722571411626
month_centered,global_time_block_permutation,66,6.522029548533303e-21,0.015605699800768053
month_centered,global_time_block_permutation,67,6.3065613720456225e-21,0.015237748254757467
month_centered,global_time_block_permutation,68,6.6638744317110664e-21,0.015986851042950088
month_centered,global_time_block_permutation,69,6.466583268113436e-21,0.015454857185617628
month_centered,global_time_block_permutation,70,6.587193687890347e-21,0.015755127169200685
month_centered,global_time_block_permutation,71,6.116379169664678e-21,0.014696308229783087
month_centered,global_time_block_permutation,72,6.0901802876081645e-21,0.014699922324043296
month_centered,global_time_block_permutation,73,6.6057786140103854e-21,0.015855419266356682
month_centered,global_time_block_permutation,74,6.004840962864028e-21,0.014432667672977587
month_centered,global_time_block_permutation,75,6.528290645393174e-21,0.015686814440611863
month_centered,global_time_block_permutation,76,6.812320976383936e-21,0.01633449034567679
month_centered,global_time_block_permutation,77,6.931790560100061e-21,0.01661260991724881
month_centered,global_time_block_permutation,78,5.817839242342729e-21,0.013929411764088283
month_centered,global_time_block_permutation,79,6.795423706318295e-21,0.016061272010373967
month_centered,global_time_block_permutation,80,6.562922918469277e-21,0.015754656614387432
month_centered,global_time_block_permutation,81,6.509542199405717e-21,0.015505657704909944
month_centered,global_time_block_permutation,82,7.056886388947138e-21,0.01685783379540472
month_centered,global_time_block_permutation,83,6.273752251175532e-21,0.01506290068940087
month_centered,global_time_block_permutation,84,6.933150120886272e-21,0.016449979800191306
month_centered,global_time_block_permutation,85,7.270216300802079e-21,0.017356412165358517
month_centered,global_time_block_permutation,86,6.561912729967743e-21,0.01574694253183516
month_centered,global_time_block_permutation,87,7.118798163815419e-21,0.01709553203788725
month_centered,global_time_block_permutation,88,6.549698505494096e-21,0.015750948181939513
