preprocessing_mode,spatial_lag,temporal_lag,covariance,n_terms,observed_covariance,separable_covariance,residual
county_centered,graph_distance_2,0,8.371644620629241e-11,171678,8.371644620629241e-11,1.3091413127474031e-10,-4.719768506844791e-11
county_centered,graph_distance_2,1,7.875003794262278e-11,170872,7.875003794262278e-11,3.442154021767572e-11,4.432849772494706e-11
county_centered,graph_distance_2,2,7.73123118656691e-11,170066,7.73123118656691e-11,3.335511494138223e-11,4.395719692428687e-11
county_centered,graph_distance_2,3,7.26033255419513e-11,169260,7.26033255419513e-11,3.058365607861582e-11,4.2019669463335485e-11
county_centered,graph_distance_2,6,6.774248252098797e-11,166842,6.774248252098797e-11,2.881561684692533e-11,3.8926865674062645e-11
county_centered,graph_distance_2,12,5.694754108285542e-11,162006,5.694754108285542e-11,2.2925711530431937e-11,3.4021829552423484e-11
county_centered,graph_distance_3_plus,0,7.083744163588768e-11,1362348,7.083744163588768e-11,1.1213917152571536e-10,-4.130172988982768e-11
county_centered,graph_distance_3_plus,1,6.785672885693797e-11,1355952,6.785672885693797e-11,2.9484998793205365e-11,3.83717300637326e-11
county_centered,graph_distance_3_plus,2,6.531972125896618e-11,1349556,6.531972125896618e-11,2.8571514161613814e-11,3.674820709735237e-11
county_centered,graph_distance_3_plus,3,6.329065722545173e-11,1343160,6.329065722545173e-11,2.6197522158137922e-11,3.7093135067313805e-11
county_centered,graph_distance_3_plus,6,5.933311041381316e-11,1323972,5.933311041381316e-11,2.4683045052143568e-11,3.4650065361669585e-11
county_centered,graph_distance_3_plus,12,5.137158103997854e-11,1285596,5.137158103997854e-11,1.963783644001633e-11,3.173374459996221e-11
month_centered,same_county,0,5.98592282050145e-10,18744,5.98592282050145e-10,5.916729125513323e-10,6.919369498812713e-12
month_centered,same_county,1,1.2732889874190495e-10,18656,1.2732889874190495e-10,1.342219007528088e-10,-6.893002010903846e-12
month_centered,same_county,2,1.2759802242633048e-10,18568,1.2759802242633048e-10,1.340276104486925e-10,-6.429588022362019e-12
month_centered,same_county,3,1.1807180614050405e-10,18480,1.1807180614050405e-10,1.2483287501929599e-10,-6.761068878791933e-12
month_centered,same_county,6,1.188843549941066e-10,18216,1.188843549941066e-10,1.248637130332705e-10,-5.979358039163919e-12
month_centered,same_county,12,1.0383777093920385e-10,17688,1.0383777093920385e-10,1.1033148265133664e-10,-6.49371171213279e-12
month_centered,adjacent,0,4.471646388964041e-11,96702,4.471646388964041e-11,7.871091594656963e-11,-3.399445205692922e-11
month_centered,adjacent,1,5.230269790123869e-11,96248,5.230269790123869e-11,1.7855691082404538e-11,3.444700681883415e-11
month_centered,adjacent,2,4.830050238793785e-11,95794,4.830050238793785e-11,1.7829844423765748e-11,3.04706579641721e-11
month_centered,adjacent,3,5.036579545688969e-11,95340,5.036579545688969e-11,1.6606658382658305e-11,3.375913707423138e-11
month_centered,adjacent,6,4.5076369810728364e-11,93978,4.5076369810728364e-11,1.6610760798493844e-11,2.846560901223452e-11
month_centered,adjacent,12,4.7647009642328096e-11,91254,4.7647009642328096e-11,1.467752177429e-11,3.29694878680381e-11
month_centered,graph_distance_2,0,3.208370646164065e-11,171678,3.208370646164065e-11,5.561530726607087e-11,-2.353160080443022e-11
month_centered,graph_distance_2,1,3.525677636650821e-11,170872,3.525677636650821e-11,1.2616417101156205e-11,2.2640359265352005e-11
month_centered,graph_distance_2,2,3.600297024819705e-11,170066,3.600297024819705e-11,1.259815445175478e-11,2.340481579644227e-11
month_centered,graph_distance_2,3,3.398021148217436e-11,169260,3.398021148217436e-11,1.1733879570670458e-11,2.22463319115039e-11
month_centered,graph_distance_2,6,3.332552294415567e-11,166842,3.332552294415567e-11,1.1736778242531697e-11,2.158874470162397e-11
month_centered,graph_distance_2,12,3.098651502320804e-11,162006,3.098651502320804e-11,1.0370796395454216e-11,2.0615718627753822e-11
month_centered,graph_distance_3_plus,0,-1.5452917891555953e-11,1362348,-1.5452917891555953e-11,-2.0736070950705594e-11,5.283153059149641e-12
month_centered,graph_distance_3_plus,1,-9.907337349570922e-12,1355952,-9.907337349570922e-12,-4.7040092559710346e-12,-5.203328093599887e-12
month_centered,graph_distance_3_plus,2,-9.720989380501515e-12,1349556,-9.720989380501515e-12,-4.6972000587850126e-12,-5.0237893217165025e-12
month_centered,graph_distance_3_plus,3,-9.481619845594873e-12,1343160,-9.481619845594873e-12,-4.3749566668832566e-12,-5.106663178711616e-12
month_centered,graph_distance_3_plus,6,-9.034844688327319e-12,1323972,-9.034844688327319e-12,-4.376037431664253e-12,-4.6588072566630655e-12
month_centered,graph_distance_3_plus,12,-8.715540545492897e-12,1285596,-8.715540545492897e-12,-3.866733466788834e-12,-4.848807078704063e-12
two_way_centered,same_county,0,5.196303811319894e-10,18744,5.196303811319894e-10,5.192870580493063e-10,3.4332308268306876e-13
two_way_centered,same_county,1,4.777514240376573e-11,18656,4.777514240376573e-11,4.8845487206606896e-11,-1.0703448028411663e-12
two_way_centered,same_county,2,4.756818970760269e-11,18568,4.756818970760269e-11,4.849290587281422e-11,-9.24716165211527e-13
two_way_centered,same_county,3,3.7691499277096594e-11,18480,3.7691499277096594e-11,3.86495783709836e-11,-9.580790938870078e-13
two_way_centered,same_county,6,3.7626578349881565e-11,18216,3.7626578349881565e-11,3.8332607117444174e-11,-7.060287675626084e-13
two_way_centered,same_county,12,2.198431767255429e-11,17688,2.198431767255429e-11,2.2734979014190972e-11,-7.506613416366833e-13
two_way_centered,adjacent,0,1.3549360977965562e-11,96702,1.3549360977965562e-11,1.948522322896439e-11,-5.935862250998827e-12
