replicate,null_type,max_t_M_t,mean_t_M_t,sum_t_M_t,lag1_autocorrelation_M_t,mean_restructuring_R_t,bottleneck_path_length,n_nontrivial_vines,top_vine_mean_persistence,top_vine_max_persistence,top_vine_distance_from_diagonal,max_vine_mean_persistence,max_vine_max_persistence,max_vine_duration_positive,sum_top25_mean_persistence,sum_top25_max_persistence,sum_top25_distance_from_diagonal,sum_top25_duration_positive,duration_weighted_mean_persistence,vineyard_success
24,separable_gaussian_matrix_normal_tda,1.0136266288546852e-08,3.3816117772274373e-09,7.202833085494441e-07,0.49774594042571857,1.0493806342187122e-09,2.2246869445436698e-07,25,2.424176103295338e-09,5.40975187741227e-09,3.7189850004824e-07,2.424176103295338e-09,8.189599232848517e-09,409.0,1.3219352865829474e-08,7.313993099654407e-08,1.9901650107919347e-06,4962.0,6.373219690420625e-10,True
25,separable_gaussian_matrix_normal_tda,8.616001813182785e-09,3.377373377139301e-09,7.193805293306711e-07,0.44402823997814894,9.068570222857588e-10,1.9225368872458086e-07,25,2.0930152185438574e-09,5.7627812269203885e-09,3.1668975203749064e-07,2.0930152185438574e-09,5.7627812269203885e-09,373.0,1.2790782705552918e-08,8.103877244184647e-08,1.8526798806367305e-06,4337.0,5.934512805442837e-10,True
26,separable_gaussian_matrix_normal_tda,1.0846407836851585e-08,3.553276933296409e-09,7.568479867921352e-07,0.4522701917007714,9.978130454035166e-10,2.1153636562554553e-07,25,2.447046253550028e-09,8.373543266430098e-09,3.836110369115543e-07,2.447046253550028e-09,8.373543266430098e-09,438.0,1.4526651995940371e-08,8.317907450245397e-08,2.0309298128095823e-06,5516.0,6.638335142767552e-10,True
27,separable_gaussian_matrix_normal_tda,8.259554273109014e-09,3.990650500585328e-09,8.50008556624675e-07,0.39378312956818,1.2242785204591525e-09,2.5954704633734034e-07,25,2.566604031826581e-09,5.7892202172636255e-09,3.8213857765119594e-07,2.566604031826581e-09,6.023450196143596e-09,398.0,1.4889693747894245e-08,8.0457446321318e-08,2.1525256356614998e-06,5117.0,7.250494785809054e-10,True
28,separable_gaussian_matrix_normal_tda,1.0152840968514646e-08,3.696206397328299e-09,7.872919626309277e-07,0.37136343239120895,1.0068836555197914e-09,2.1345933497019577e-07,25,2.840256639965716e-09,1.0152840968514646e-08,4.388900731377098e-07,2.840256639965716e-09,1.0152840968514646e-08,411.0,1.3914238030072137e-08,8.310708527839235e-08,2.0595806100096476e-06,5096.0,6.639479842323473e-10,True
29,separable_gaussian_matrix_normal_tda,9.866517969370586e-09,3.4935707728305606e-09,7.441305746129094e-07,0.5964387077979817,9.732862052997064e-10,2.0633667552353777e-07,25,2.2963239304444567e-09,6.401149156694893e-09,3.6127938815995796e-07,2.2963239304444567e-09,6.401149156694893e-09,361.0,1.2101518021096831e-08,7.682569272218544e-08,1.6989539902377434e-06,4592.0,5.778312664038032e-10,True
30,separable_gaussian_matrix_normal_tda,1.0261947542275657e-08,3.779516936059629e-09,8.05037107380701e-07,0.5403537363590705,1.0924080467305117e-09,2.3159050590686847e-07,25,2.532394479856704e-09,6.613382126090443e-09,3.934541441477914e-07,2.532394479856704e-09,6.613382126090443e-09,392.0,1.2557210227279357e-08,7.401638639138766e-08,1.7894143753930202e-06,4640.0,6.383612972468776e-10,True
31,separable_gaussian_matrix_normal_tda,9.666452716117359e-09,3.47347266797254e-09,7.39849678278151e-07,0.4928147747226406,9.863913921003439e-10,2.0911497512527288e-07,25,2.3546627868213526e-09,8.070469008599316e-09,3.744727436786819e-07,2.3546627868213526e-09,8.070469008599316e-09,326.0,1.2431184856466972e-08,8.59332840007359e-08,1.793149446879758e-06,3744.0,5.965662281497683e-10,True
32,separable_gaussian_matrix_normal_tda,8.512433647823695e-09,3.4381680909821863e-09,7.323298033792057e-07,0.3543528380045791,1.022500786145234e-09,2.1677016666278962e-07,25,2.378432616245612e-09,7.859324247779923e-09,3.6837122052240623e-07,2.378432616245612e-09,7.859324247779923e-09,368.0,1.311475193342814e-08,8.305228907794713e-08,1.9197775390786904e-06,4305.0,6.449526384118087e-10,True
33,separable_gaussian_matrix_normal_tda,7.526209105890106e-09,3.36487469597324e-09,7.167183102423001e-07,0.46877867888165875,8.70199855731079e-10,1.8448236941498874e-07,25,2.321112445923245e-09,5.728840958164999e-09,3.584146325406906e-07,2.321112445923245e-09,5.728840958164999e-09,382.0,1.3566545486909733e-08,7.045121997992798e-08,2.0281636153579847e-06,4562.0,6.361403022830332e-10,True
34,separable_gaussian_matrix_normal_tda,8.753604514761731e-09,3.6150889263460464e-09,7.700139413117079e-07,0.5025511475847362,9.925263313894594e-10,2.104155822545654e-07,25,2.3800306904352518e-09,7.651656270930383e-09,3.6298574759028866e-07,2.3800306904352518e-09,7.651656270930383e-09,364.0,1.3358688819903265e-08,8.039269512440789e-08,1.9908988744094166e-06,4502.0,6.259547946218079e-10,True
35,separable_gaussian_matrix_normal_tda,7.233879649241484e-09,3.5219199008752015e-09,7.501689388864179e-07,0.4340004033809727,1.0312649746543785e-09,2.1862817462672824e-07,25,2.4551835579386944e-09,6.868548897361674e-09,3.8630950429919313e-07,2.4551835579386944e-09,6.868548897361674e-09,401.0,1.3570589903431815e-08,8.321396513641811e-08,2.0049175619320638e-06,4600.0,6.615958224814085e-10,True
36,separable_gaussian_matrix_normal_tda,1.1105642655772162e-08,3.4820683987776703e-09,7.416805689396438e-07,0.37449792247073255,1.0445974630410176e-09,2.2145466216469575e-07,25,2.5377030139894677e-09,9.747796092777964e-09,4.080560621212961e-07,2.5377030139894677e-09,9.747796092777964e-09,400.0,1.2473578804113373e-08,8.436046661324465e-08,1.911710975208187e-06,4323.0,6.131799877933003e-10,True
