month_index,month_label,year,month,date,M_t_max_h1_persistence,Tot_t_total_h1_persistence,N_h1,N_sig_t,A_t,R_t_bottleneck_to_previous,h1_threshold
75,2013_4,2013,4,2013-04-01,0.0001010279594877,0.00019294781893851662,10,0,False,2.8673726634199982e-05,0.00017490356387223999
76,2013_5,2013,5,2013-05-01,9.525321479599936e-05,0.00013748087371172855,6,0,False,7.175763142410196e-06,0.00017490356387223999
77,2013_6,2013,6,2013-06-01,9.052641108043272e-05,0.00015704993469781907,6,0,False,9.058668466322135e-06,0.00017490356387223999
78,2013_7,2013,7,2013-07-01,9.525321479599936e-05,0.00016970027302475545,7,0,False,4.726803715566642e-06,0.00017490356387223999
79,2013_8,2013,8,2013-08-01,9.128529698149952e-05,0.00019854565415303326,8,0,False,8.108351477640877e-06,0.00017490356387223999
80,2013_9,2013,9,2013-09-01,6.942837306179126e-05,0.00019685864254357727,9,0,False,2.1856923919708266e-05,0.00017490356387223999
81,2013_10,2013,10,2013-10-01,7.069635913750442e-05,0.00017894525195065537,8,0,False,1.1575891447016946e-05,0.00017490356387223999
82,2013_11,2013,11,2013-11-01,0.0001425923285327,0.00019817135749839975,6,0,False,7.129616426635e-05,0.00017490356387223999
83,2013_12,2013,12,2013-12-01,7.550018875047188e-05,0.0001672999867053661,6,0,False,6.70921397822281e-05,0.00017490356387223999
84,2014_1,2014,1,2014-01-01,7.614986293024673e-05,9.392008131370968e-05,4,0,False,1.3430630791959528e-05,0.00017490356387223999
85,2014_2,2014,2,2014-02-01,7.167174341515857e-05,0.0001912173830848672,8,0,False,1.9054514967321502e-05,0.00017490356387223999
86,2014_3,2014,3,2014-03-01,0.0001041341247526,0.00020903809094617224,10,0,False,3.246238133744143e-05,0.00017490356387223999
87,2014_4,2014,4,2014-04-01,6.958135219761104e-05,0.00017083837569969751,9,0,False,3.4552772554988966e-05,0.00017490356387223999
88,2014_5,2014,5,2014-05-01,0.0001522997258604,0.00025602199395257286,10,0,False,7.61498629302e-05,0.00017490356387223999
89,2014_6,2014,6,2014-06-01,0.0001308472358521,0.000274273326980844,10,0,False,2.1452490008300006e-05,0.00017490356387223999
