month_index,month_label,year,month,rank,observed_birth,observed_death,observed_persistence,fitted_birth,fitted_death,fitted_persistence,radius_median_monthwise,radius_90_monthwise,radius_95_monthwise,radius_99_monthwise,observed_persistence_over_radius95,fitted_persistence_over_radius95,observed_persistence_over_2radius95,fitted_persistence_over_2radius95
4,2007_5,2007,5,7,6.287133381534689e-06,3.3292211287169366e-05,2.700507790563468e-05,7.707275879973787e-06,1.6679662517210035e-05,8.972386637236248e-06,1.2687188181721012e-05,3.029515897846828e-05,3.3162089918805615e-05,5.250533817463997e-05,0.8143358265945896,0.2705615556560014,0.4071679132972948,0.1352807778280007
4,2007_5,2007,5,8,0.0,1.7775144423048436e-05,1.7775144423048436e-05,1.5397688579777583e-05,2.33075074567802e-05,7.909818877002615e-06,9.984703830389168e-06,1.543318169592347e-05,2.1654798797415037e-05,3.895077720187401e-05,0.8208408948676207,0.3652686386514392,0.4104204474338103,0.1826343193257196
4,2007_5,2007,5,9,9.161452273414382e-06,1.4262486807199704e-05,5.10103453378532e-06,8.02982811651001e-06,1.3414811353140937e-05,5.384983236630926e-06,1.0530593124649704e-05,2.23431501569893e-05,3.0085199521861788e-05,3.830788208305782e-05,0.169552956764624,0.1789911093233023,0.084776478382312,0.0894955546616511
4,2007_5,2007,5,10,2.175000543750136e-05,2.435756911460236e-05,2.6075636771010016e-06,1.6825311918593272e-05,1.981955480103591e-05,2.9942428824426382e-06,8.865155156572771e-06,1.6825311918593272e-05,1.9369881340969156e-05,3.002306446970489e-05,0.134619496691792,0.1545824070749224,0.067309748345896,0.0772912035374612
5,2007_6,2007,6,1,0.0,0.0001474273920094,0.0001474273920094,6.463189778193728e-07,2.7081487093050797e-05,2.6435168115231422e-05,4.134604814712986e-05,7.42613049008492e-05,8.771999713568892e-05,0.0001203459049163,1.6806588785153351,0.301358515485818,0.8403294392576676,0.150679257742909
5,2007_6,2007,6,2,1.5600137281208075e-05,6.842753524018066e-05,5.282739795897258e-05,6.087087072038093e-06,1.670937247288131e-05,1.0622285400843217e-05,3.396202352407841e-05,5.210901580046533e-05,5.700432353183637e-05,6.915947717076296e-05,0.926726161910666,0.1863417499360513,0.463363080955333,0.0931708749680256
5,2007_6,2007,6,3,0.0,3.440919413667332e-05,3.440919413667332e-05,9.264721115874036e-06,1.808781669810102e-05,8.823095582226985e-06,2.4263530074726352e-05,3.9158083064328494e-05,4.7810041621503585e-05,5.1732408440916544e-05,0.719706425045174,0.1845448211920947,0.359853212522587,0.0922724105960473
5,2007_6,2007,6,4,6.697721769939955e-06,3.2482824706436475e-05,2.578510293649652e-05,1.3366079592767465e-05,2.1020820952547572e-05,7.65474135978011e-06,1.3366079592767465e-05,2.8324124891374364e-05,3.28248608568433e-05,4.6668646397634245e-05,0.7855357879185302,0.2331995067142609,0.3927678939592651,0.1165997533571304
5,2007_6,2007,6,5,7.981801492596879e-06,2.4692355695628554e-05,1.6710554203031673e-05,9.315924781997436e-06,1.5466134703208624e-05,6.150209921211189e-06,1.3156815178006136e-05,2.9342755380584e-05,3.1712578261501695e-05,4.181073352961492e-05,0.5269377363529563,0.1939359792980754,0.2634688681764781,0.0969679896490377
5,2007_6,2007,6,6,0.0,1.593676292471473e-05,1.593676292471473e-05,1.216530790360846e-05,1.7686856607657118e-05,5.521548704048659e-06,1.216530790360846e-05,2.1063320997323572e-05,2.7122033476135505e-05,3.853171559327221e-05,0.5875946926596556,0.2035816639230621,0.2937973463298278,0.101790831961531
