scenario,month_index,month_label,radius_50_monthwise,radius_90_monthwise,radius_95_monthwise,radius_99_monthwise,threshold_95_monthwise
cumulative_population_normalized,15,2008_4,0.0001174824708813,0.0002290798517062599,0.0002575712028972849,0.0002978726302802397,0.0005151424057945698
cumulative_population_normalized,16,2008_5,0.0001217605071282,0.00021993752366737999,0.0002601737015238,0.0003095574805755226,0.0005203474030476
cumulative_population_normalized,17,2008_6,0.00012169641398675,0.00022078350670622996,0.00024224543129933995,0.00031150518811902747,0.0004844908625986799
cumulative_population_normalized,18,2008_7,0.0001127793998463,0.0002197487762712,0.0002645235591135,0.0003095222158700108,0.000529047118227
cumulative_population_normalized,19,2008_8,0.0001220978941791,0.0002120554735186,0.00025485675867438994,0.0003687672134666,0.0005097135173487799
cumulative_population_normalized,20,2008_9,0.00011526387648665,0.00020764319050195994,0.0002680802721523,0.0003576298378369,0.0005361605443046
cumulative_population_normalized,21,2008_10,0.00011688956189545,0.00021127069783365,0.00024341187222210497,0.0003543138604455,0.00048682374444420994
cumulative_population_normalized,22,2008_11,0.0001195530700954,0.0002086861129099,0.0002525056504374,0.0003644426075432,0.0005050113008748
cumulative_population_normalized,23,2008_12,0.0001223710047081,0.00021179749172998998,0.00024573861559411985,0.0003536900000525,0.0004914772311882397
cumulative_population_normalized,24,2009_1,0.0001246470298006,0.00021915092933241993,0.0002521278344561747,0.0003854933223825,0.0005042556689123495
cumulative_population_normalized,25,2009_2,0.00012383098979945,0.0002253189653863,0.0002556581347755,0.0003680854928443944,0.000511316269551
cumulative_population_normalized,26,2009_3,0.0001272760702612,0.0002315976108839,0.000254490423779,0.0003669177818478944,0.000508980847558
cumulative_population_normalized,27,2009_4,0.00013589259946704998,0.00023324646438865,0.0002471163907196248,0.00041754046877826256,0.0004942327814392496
cumulative_population_normalized,28,2009_5,0.0001373637810386,0.0002267692347712,0.0002675921890157,0.0004060271695052626,0.0005351843780314
cumulative_population_normalized,29,2009_6,0.00013594156513415,0.00022207892702329996,0.0002663432936041049,0.00040105497709622617,0.0005326865872082098
cumulative_population_normalized,30,2009_7,0.000141448234345,0.00022693761731951,0.00026201795139414,0.00041173424491056256,0.00052403590278828
cumulative_population_normalized,31,2009_8,0.0001356786520296,0.0002461951735923,0.0002685465370254,0.00042522959469193177,0.0005370930740508
cumulative_population_normalized,32,2009_9,0.0001336803525298,0.00023758529628883,0.0002724535243654,0.0004017215720945308,0.0005449070487308
cumulative_population_normalized,33,2009_10,0.0001380904594312,0.0002331587349582,0.0002864979413992,0.0004254567599924308,0.0005729958827984
cumulative_population_normalized,34,2009_11,0.000137305460317,0.00023158689351493995,0.000270831669991,0.0004102375158528944,0.000541663339982
cumulative_population_normalized,35,2009_12,0.00013875643382565002,0.0002415303012825,0.0002689142506507599,0.0004251918467420308,0.0005378285013015198
cumulative_population_normalized,36,2010_1,0.0001421062429016,0.00024589342859825,0.0002742493920509,0.0004081859226267858,0.0005484987841018
cumulative_population_normalized,37,2010_2,0.00014677678552085,0.00024470970463267,0.00028953036014127994,0.0004038441763989858,0.0005790607202825599
cumulative_population_normalized,38,2010_3,0.0001529909955871,0.00025398414165092,0.00029200254656526497,0.0004035657559916858,0.0005840050931305299
cumulative_population_normalized,39,2010_4,0.00015202161425750002,0.0002564893929518,0.0003021748983895296,0.0003902030674036,0.0006043497967790592
cumulative_population_normalized,40,2010_5,0.000158915740565,0.00025932802613295997,0.0003036594109628,0.0003930247167213858,0.0006073188219256
cumulative_population_normalized,41,2010_6,0.0001613917462566,0.00027405059762931997,0.0003184060949762747,0.0004013066516282,0.0006368121899525494
cumulative_population_normalized,42,2010_7,0.0001659246333146,0.00026069075053073993,0.0003330667256583148,0.0003878978105276,0.0006661334513166296
cumulative_population_normalized,43,2010_8,0.00016696996051874998,0.00028383958181963997,0.0003310834028408,0.0003979402400667,0.0006621668056816
cumulative_population_normalized,44,2010_9,0.00016758612995395,0.0002860348100785299,0.0003171813380752296,0.0004054323632133868,0.0006343626761504592
cumulative_population_normalized,45,2010_10,0.00016839937148865,0.00027538535518672,0.00031991159069152,0.0004312654573848,0.00063982318138304
cumulative_population_normalized,46,2010_11,0.00017094234517965,0.00026745252409603,0.00031223674077425484,0.0004456270266220868,0.0006244734815485097
