month_index,month_label,year,month,landscape_summary,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
185,2022_6,2022,6,landscape_lambda1_peak_top10,7.951021706285e-05,4.779695389261722e-05,7.919115754444972e-05,2.198622940161033e-05,4.847630305035356e-05,7.61888930446e-05,0.00012273699425889993
186,2022_7,2022,7,landscape_lambda1_peak_top10,8.31151560487e-05,5.051964602645e-05,8.77609675877964e-05,3.0006645689014904e-05,5.24548887956e-05,7.951021706285e-05,0.00015902043412575
187,2022_8,2022,8,landscape_lambda1_peak_top10,0.00023853065118865,9.50138576977e-05,0.0001238206730446433,4.119112780083961e-05,7.07063565014e-05,0.0001192653255943,0.00023853065118865
188,2022_9,2022,9,landscape_lambda1_peak_top10,6.23363670365e-05,5.85397443449e-05,7.843496613349679e-05,2.2383597613026315e-05,4.599674956303088e-05,7.61888930446e-05,0.00012467273407305
189,2022_10,2022,10,landscape_lambda1_peak_top10,7.28358643796e-05,5.50718371775e-05,8.541517379958607e-05,2.362692200089218e-05,5.39219210583e-05,7.951021706285e-05,0.000136605801193
190,2022_11,2022,11,landscape_lambda1_peak_top10,6.83029005965e-05,4.462484074566316e-05,7.576306082810232e-05,2.078764419356343e-05,4.599674956303088e-05,7.28358643796e-05,0.00012769133862751728
191,2022_12,2022,12,landscape_lambda1_peak_top10,0.00015937343472515,6.56882958299e-05,8.609862365260867e-05,2.5475985541428068e-05,5.22821142887e-05,7.951021706285e-05,0.00015937343472515
192,2023_1,2023,1,landscape_lambda1_peak_top10,4.625988805107092e-05,3.1991712135862845e-05,5.6077762306002426e-05,1.569352985221537e-05,3.664077385314378e-05,5.39141686435e-05,9.25891633643e-05
193,2023_2,2023,2,landscape_lambda1_peak_top10,7.407133069145e-05,3.87300804355494e-05,6.0384781208239594e-05,1.651930687362805e-05,3.854990670922577e-05,5.557948561185e-05,0.0001099223215594
194,2023_3,2023,3,landscape_lambda1_peak_top10,5.7107613587e-05,3.181651754281391e-05,6.356701950794907e-05,1.743307269295312e-05,3.9381448712226624e-05,5.882276048675e-05,0.00011120064010530241
195,2023_4,2023,4,landscape_lambda1_peak_top10,5.555349801855e-05,5.052973848665e-05,6.967480940842167e-05,1.6961610819205693e-05,4.450846460301011e-05,6.94743570148e-05,0.00011110699603715
196,2023_5,2023,5,landscape_lambda1_peak_top10,9.031666411925e-05,5.21808558688e-05,6.667213045423138e-05,1.8520559393713326e-05,4.008337341670675e-05,6.25269213133e-05,0.00011815999975832245
197,2023_6,2023,6,landscape_lambda1_peak_top10,6.89988270199e-05,5.20468046138e-05,7.586537654745808e-05,2.4351183398902406e-05,4.21929059660769e-05,7.328154770625e-05,0.0001391223999221861
198,2023_7,2023,7,landscape_lambda1_peak_top10,5.450383343625e-05,3.7774395541713045e-05,6.0522456927937436e-05,1.5656072543044516e-05,3.8613380825151156e-05,5.557948561185e-05,0.000105939685006
199,2023_8,2023,8,landscape_lambda1_peak_top10,5.228689821045e-05,3.331596158468291e-05,5.76812401361789e-05,1.682725415554888e-05,3.737200089692802e-05,5.39698693929e-05,9.25891633643e-05
200,2023_9,2023,9,landscape_lambda1_peak_top10,8.01667468334e-05,3.4027236200748764e-05,5.698595206129677e-05,1.8350867972324964e-05,3.6330997335319995e-05,5.345878327805e-05,0.0001099223215594
201,2023_10,2023,10,landscape_lambda1_peak_top10,6.25269213133e-05,3.6193139908474194e-05,5.326209591072061e-05,1.5569488494243248e-05,3.4737178507412915e-05,4.863204991037808e-05,9.18822070106e-05
202,2023_11,2023,11,landscape_lambda1_peak_top10,7.2671777915e-05,6.874454698065e-05,8.6916135222688e-05,2.809179435571151e-05,4.5749412307557405e-05,7.755167614205e-05,0.0001457183042759684
203,2023_12,2023,12,landscape_lambda1_peak_top10,4.59411035053062e-05,3.31216313370284e-05,5.41765078496257e-05,1.7354021403408116e-05,3.4759861013580404e-05,4.863204991037808e-05,9.820606723472107e-05
204,2024_1,2024,1,landscape_lambda1_peak_top10,3.5639188852061724e-05,4.157604841689162e-05,5.9130724566732464e-05,2.0806454599694416e-05,3.531322833533442e-05,5.345878327805e-05,0.00011485275876325
205,2024_2,2024,2,landscape_lambda1_peak_top10,6.58587987355e-05,2.83571144541452e-05,5.24084836276461e-05,1.600246755348668e-05,3.139437679983483e-05,4.863204991037808e-05,9.08397223938e-05
206,2024_3,2024,3,landscape_lambda1_peak_top10,6.891165525795e-05,3.455878825448952e-05,5.7712238315488395e-05,2.0638704685974535e-05,3.4938159457759764e-05,5.29836907805e-05,0.00010995193842134373
207,2024_4,2024,4,landscape_lambda1_peak_top10,4.099368697220628e-05,2.0817932255201168e-05,4.6930162286028826e-05,1.4646076880914763e-05,2.7985671336275827e-05,4.0684585966530145e-05,8.01667468334e-05
208,2024_5,2024,5,landscape_lambda1_peak_top10,3.4737178507412915e-05,2.228575283613792e-05,4.5352040846604584e-05,1.3511030235766566e-05,2.7323972964709586e-05,4.008337341670675e-05,7.407133069145e-05
209,2024_6,2024,6,landscape_lambda1_peak_top10,3.470173855710171e-05,2.3184854036477907e-05,4.5913969746733414e-05,1.4972341550127765e-05,2.6726062254194358e-05,4.16846142088955e-05,8.01667468334e-05
210,2024_7,2024,7,landscape_lambda1_peak_top10,2.6254299141484417e-05,1.0389761148311048e-05,3.101521261281974e-05,1.0796117139479585e-05,1.7467423255628253e-05,2.7789742805930332e-05,5.555349801855e-05
211,2024_8,2024,8,landscape_lambda1_peak_top10,1.7467423255628253e-05,5.988548814057225e-06,2.262850620359401e-05,1.087245108642527e-05,1.0884472211942443e-05,1.8517832672863968e-05,4.008337341670675e-05
212,2024_9,2024,9,landscape_lambda1_peak_top10,0.0,1.762742505674192e-09,9.418474499956455e-08,8.82072741057145e-07,0.0,0.0,4.1046272570641645e-07
0,2007_1,2007,1,landscape_total_tent_area_top10,5.24293794716185e-09,1.112469581285694e-09,5.5119149256100504e-09,2.3750138835924086e-09,2.466127242950085e-09,4.970452123824328e-09,1.0884835716422293e-08
1,2007_2,2007,2,landscape_total_tent_area_top10,2.812534013294312e-09,4.38568591670837e-10,4.446173043042401e-09,2.3861986575928657e-09,1.882574469483445e-09,3.817038910422492e-09,1.0303473041677144e-08
2,2007_3,2007,3,landscape_total_tent_area_top10,4.025158400203338e-09,3.8702721819930445e-10,3.760974558896873e-09,1.6996887311584918e-09,1.5015093836682994e-09,3.471891152787818e-09,7.818985097727866e-09
3,2007_4,2007,4,landscape_total_tent_area_top10,4.721157366725324e-09,4.429864911270115e-10,4.168606915026887e-09,1.8853463183151403e-09,1.8326550320539872e-09,3.762657929785664e-09,8.575835271875054e-09
4,2007_5,2007,5,landscape_total_tent_area_top10,6.818724372377744e-09,1.0663391482489569e-09,5.164611824258483e-09,2.453918050845712e-09,1.9361911501854097e-09,4.609637855161945e-09,1.1526507104637608e-08
5,2007_6,2007,6,landscape_total_tent_area_top10,6.7937960591606066e-09,2.7025079501849043e-10,3.2801193780440725e-09,1.6664365653224083e-09,1.3507738654074562e-09,2.9511874626730113e-09,7.540611971837524e-09
