grid_index,x,observed_lambda1,fitted_mean_lambda1,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
80,0.00025545451265185544,1.612351077172877e-06,7.100922310464279e-07,1.8046762307157024e-06,7.915876749275839e-07,4.260095809069861e-07,1.7405366516703738e-06,3.5093450740922316e-06
81,0.0002586476940600036,1.5373937671224503e-06,6.801093070262571e-07,1.7347549950719466e-06,7.800008045499774e-07,4.080689635783867e-07,1.6684107959299874e-06,3.4074944735748154e-06
82,0.0002618408754681518,1.4624364570720234e-06,6.501263830060865e-07,1.6662801534826285e-06,7.674368209039116e-07,3.855599991894347e-07,1.60362745944914e-06,3.317321954716268e-06
83,0.0002650340568763,1.3874791470215965e-06,6.201434589859157e-07,1.5984809517865091e-06,7.549524292163796e-07,3.3610408708583356e-07,1.5413977339652585e-06,3.2390892701247996e-06
84,0.00026822723828444817,1.3125218369711698e-06,5.90160534965745e-07,1.5316440259390832e-06,7.432706818773845e-07,2.851440679280329e-07,1.4726898751169444e-06,3.178904204651283e-06
85,0.0002714204196925964,1.240616536642321e-06,5.601776109455737e-07,1.4659284478136962e-06,7.326153921370379e-07,2.4358075782880126e-07,1.405303102951501e-06,3.092531038050951e-06
86,0.0002746136011007446,1.1806506886019796e-06,5.30194686925403e-07,1.4058232534819286e-06,7.221391510853381e-07,2.1252005958549684e-07,1.3514241630358079e-06,2.987965590530605e-06
87,0.00027780678250889277,1.1276742103747158e-06,5.002117629052324e-07,1.3501831873049472e-06,7.111022883660816e-07,1.8877702652053868e-07,1.295863764151762e-06,2.91393056334958e-06
88,0.00028099996391704095,1.0976912863545452e-06,4.833622043110754e-07,1.2978242079677772e-06,6.986867705866841e-07,1.692851670664744e-07,1.2416887089625687e-06,2.8247571148511365e-06
89,0.00028419314532518913,1.0677083623343743e-06,4.683707423009901e-07,1.246496286911403e-06,6.866964846902029e-07,1.5429370505638903e-07,1.1782609815875025e-06,2.744041479025617e-06
90,0.00028738632673333737,1.037725438314203e-06,4.5337928029090445e-07,1.1967478615429811e-06,6.75183232996286e-07,1.3373615790932477e-07,1.1174509225184002e-06,2.683586286962851e-06
91,0.00029057950814148555,1.0077425142940324e-06,4.383878182808191e-07,1.1475649412942336e-06,6.642446864857468e-07,1.1386004069037472e-07,1.0670048656891029e-06,2.6235143944632807e-06
92,0.00029377268954963373,9.777595902738618e-07,4.2339635627073376e-07,1.0993086750745743e-06,6.538577340637422e-07,9.884174322067498e-08,1.0121460019323096e-06,2.5665490982805165e-06
93,0.0002969658709577819,9.477766662536909e-07,4.084048942606484e-07,1.0508114027608425e-06,6.429425263489249e-07,8.385028121058962e-08,9.615718354626111e-07,2.504271475284642e-06
94,0.0003001590523659301,9.177937422335203e-07,3.93413432250563e-07,1.0029079785373678e-06,6.325575140666417e-07,5.782411022849708e-08,9.187680146724169e-07,2.4448252483211563e-06
95,0.00030335223377407833,8.87810818213349e-07,3.784219702404774e-07,9.553180868395987e-07,6.228119089049158e-07,4.283264821841146e-08,8.678076116880164e-07,2.3908826788912835e-06
96,0.0003065454151822265,8.578278941931783e-07,3.63430508230392e-07,9.079159414335401e-07,6.137563086031464e-07,2.78411862083261e-08,8.280140241116605e-07,2.345158719760524e-06
97,0.0003097385965903747,8.278449701730075e-07,3.484390462203067e-07,8.617049191563527e-07,6.052467883973984e-07,1.2849724198240736e-08,7.756478209706035e-07,2.2792781927612688e-06
98,0.0003129317779985229,7.978620461528368e-07,3.3344758421022133e-07,8.192455507911351e-07,5.963101077925685e-07,0.0,7.313690317768879e-07,2.264061971959715e-06
99,0.00031612495940667106,7.678791221326661e-07,3.1845612220013596e-07,7.852996429448114e-07,5.866458354117121e-07,0.0,6.854382154672411e-07,2.1954434988293492e-06
100,0.0003193181408148193,7.405782232980314e-07,3.034646601900503e-07,7.565227172892726e-07,5.770878240892056e-07,0.0,6.512508590101474e-07,2.1269729549397446e-06
101,0.0003225113222229675,7.25586761287946e-07,2.8847319817996496e-07,7.315700453361874e-07,5.67569564120598e-07,0.0,6.173409425637619e-07,2.067381893449655e-06
102,0.00032570450363111566,7.105952992778607e-07,2.734817361698796e-07,7.070998746179843e-07,5.58298087381739e-07,0.0,5.895476603744274e-07,2.007790831959565e-06
103,0.00032889768503926385,6.956038372677753e-07,2.5849027415979427e-07,6.829153329901305e-07,5.492297119605087e-07,0.0,5.64970015275287e-07,1.957293662513701e-06
104,0.00033209086644741203,6.8061237525769e-07,2.434988121497089e-07,6.586929160690383e-07,5.40144814634441e-07,0.0,5.499785532652016e-07,1.9557945163126936e-06
105,0.00033528404785556026,6.656209132476043e-07,2.2850735013962326e-07,6.345898588942886e-07,5.313213805976864e-07,0.0,5.34987091255116e-07,1.9103148393289265e-06
106,0.00033847722926370845,6.50629451237519e-07,2.135158881295379e-07,6.105340750538931e-07,5.227736207321443e-07,0.0,5.199956292450307e-07,1.850036079309899e-06
107,0.00034167041067185663,6.356379892274336e-07,1.9852442611945255e-07,5.866787940103255e-07,5.145108550472362e-07,0.0,5.050041672349452e-07,1.8081237257807104e-06
108,0.0003448635920800048,6.206465272173483e-07,1.8353296410936718e-07,5.634040256333483e-07,5.064719622548028e-07,0.0,4.900127052248599e-07,1.7664014708492619e-06
109,0.000348056773488153,6.056550652072629e-07,1.685415020992818e-07,5.42327805926157e-07,4.973382541369616e-07,0.0,4.7191107307508923e-07,1.7364185468290913e-06
110,0.0003512499548963012,5.906636031971775e-07,1.5355004008919647e-07,5.227617676628993e-07,4.87865702212076e-07,0.0,4.419281490549185e-07,1.7064252399176643e-06
111,0.0003544431363044494,5.756721411870919e-07,1.3855857807911083e-07,5.033208126254365e-07,4.786701781798642e-07,0.0,4.119452250347472e-07,1.6760675293472414e-06
112,0.0003576363177125976,5.606806791770066e-07,1.235671160690255e-07,4.840730843991802e-07,4.6975693107723916e-07,0.0,3.8196230101457653e-07,1.6629839601500212e-06
113,0.0003608294991207458,5.456892171669212e-07,1.0857565405894012e-07,4.649739617983314e-07,4.6116450071971294e-07,0.0,3.5162180188736356e-07,1.6330036689995343e-06
114,0.00036402268052889396,5.306977551568358e-07,9.358419204885475e-08,4.461487010060479e-07,4.5281612639442616e-07,0.0,3.216388778671929e-07,1.6029179390463716e-06
115,0.00036721586193704214,5.157062931467504e-07,7.85927300387694e-08,4.2790594306482785e-07,4.4466496700981847e-07,0.0,2.9165595384702214e-07,1.5701597587817472e-06
116,0.0003704090433451904,5.007148311366649e-07,6.360126802868377e-08,4.0978068724871043e-07,4.3676945695673504e-07,0.0,2.613154547198087e-07,1.5265380786878951e-06
117,0.00037360222475333856,4.857233691265795e-07,4.8609806018598416e-08,3.917069667996968e-07,4.2913024347729096e-07,0.0,2.3133253069963795e-07,1.4965551546677245e-06
118,0.00037679540616148674,4.707319071164941e-07,3.361834400851305e-08,3.7371720633776446e-07,4.217856055535373e-07,0.0,2.0134960667946724e-07,1.4759350648772818e-06
119,0.0003799885875696349,4.557404451064088e-07,1.862688199842769e-08,3.559412356794029e-07,4.14777325041227e-07,0.0,1.714506870388032e-07,1.4607707935904462e-06
120,0.0003831817689777831,4.407489830963234e-07,3.6354199883423267e-09,3.402907834518894e-07,4.071271986097314e-07,0.0,1.5645922502871784e-07,1.445779331580361e-06
121,0.00038637495038593134,4.257575210862378e-07,0.0,3.252719455523643e-07,3.9977841905245456e-07,0.0,1.4146776301863223e-07,1.4039529468818905e-06
122,0.0003895681317940795,4.107660590761524e-07,0.0,3.103161907122349e-07,3.9276937404595556e-07,0.0,1.2647630100854686e-07,1.3589130737012248e-06
123,0.0003927613132022277,3.9577459706606704e-07,0.0,2.96451325946917e-07,3.858484148485551e-07,0.0,1.0687719594856635e-07,1.3166576105466996e-06
124,0.0003959544946103759,3.807831350559817e-07,0.0,2.8403040400802227e-07,3.7892301048509526e-07,0.0,8.79115744235875e-08,1.2866746865265288e-06
125,0.00039914767601852407,3.6579167304589635e-07,0.0,2.726057467106592e-07,3.7186709816287513e-07,0.0,7.292011241350213e-08,1.2566917625063581e-06
126,0.0004023408574266723,3.508002110358107e-07,0.0,2.618892921868743e-07,3.646902510452826e-07,0.0,5.792865040341651e-08,1.2267088384861869e-06
127,0.0004055340388348205,3.3580874902572535e-07,0.0,2.5122197776409166e-07,3.5764023844071874e-07,0.0,4.293718839333115e-08,1.1964796231099692e-06
128,0.00040872722024296867,3.2081728701564e-07,0.0,2.406209991457593e-07,3.5072417027882344e-07,0.0,2.7945726383245787e-08,1.1666017995571446e-06
129,0.00041192040165111685,3.058258250055546e-07,0.0,2.301987420335256e-07,3.439329600336448e-07,0.0,1.2954264373160426e-08,1.1487245355401185e-06
130,0.00041511358305926503,2.908343629954693e-07,0.0,2.2010046132945677e-07,3.3719819030963647e-07,0.0,0.0,1.1336269728400704e-06
131,0.00041830676446741327,2.7584290098538365e-07,0.0,2.1200384925753047e-07,3.29983077258383e-07,0.0,0.0,1.1186355108299847e-06
132,0.00042149994587556145,2.608514389752983e-07,0.0,2.042082890122861e-07,3.229010700794971e-07,0.0,0.0,1.1036440488198995e-06
133,0.00042469312728370964,2.458599769652129e-07,0.0,1.9641272876704172e-07,3.159349092097298e-07,0.0,0.0,1.0886525868098141e-06
134,0.0004278863086918578,2.3086851495512757e-07,0.0,1.8862118374330842e-07,3.09089948596902e-07,0.0,0.0,1.0736611247997287e-06
135,0.000431079490100006,2.158770529450422e-07,0.0,1.8084061496007407e-07,3.0237004483096603e-07,0.0,0.0,1.0586696627896435e-06
136,0.00043427267150815424,2.008855909349566e-07,0.0,1.7306004617683964e-07,2.957908133519378e-07,0.0,0.0,1.0436782007795578e-06
137,0.0004374658529163024,1.8589412892487122e-07,0.0,1.6527947739360532e-07,2.893618497324723e-07,0.0,0.0,1.0286867387694724e-06
138,0.0004406590343244506,1.7090266691478585e-07,0.0,1.5749890861037108e-07,2.830933917679266e-07,0.0,0.0,1.013695276759387e-06
139,0.0004438522157325988,1.559112049047005e-07,0.0,1.4971833982713676e-07,2.7699633645522245e-07,0.0,0.0,9.987038147493018e-07
140,0.00044704539714074696,1.4091974289461514e-07,0.0,1.4194876866309842e-07,2.710762616893643e-07,0.0,0.0,9.837123527392164e-07
141,0.0004502385785488952,1.2592828088452953e-07,0.0,1.3463492328823814e-07,2.651437368249237e-07,0.0,0.0,9.687208907291307e-07
142,0.0004534317599570434,1.1093681887444416e-07,0.0,1.2863727927568031e-07,2.5896106711185694e-07,0.0,0.0,9.447596788061654e-07
143,0.00045662494136519157,9.594535686435879e-08,0.0,1.2284155657975754e-07,2.52921182010393e-07,0.0,0.0,9.147767547859947e-07
144,0.00045981812277333975,8.095389485427344e-08,0.0,1.1705485224386457e-07,2.4702044598379703e-07,0.0,0.0,8.847938307658239e-07
145,0.00046301130418148793,6.596243284418808e-08,0.0,1.1126814790797163e-07,2.4127102860106904e-07,0.0,0.0,8.548109067456532e-07
146,0.00046620448558963617,5.097097083410246e-08,0.0,1.0548144357207858e-07,2.356840041964774e-07,0.0,0.0,8.24827982725482e-07
147,0.00046939766699778435,3.5979508824017094e-08,0.0,9.977826701083536e-08,2.3027001548087462e-07,0.0,0.0,7.948450587053113e-07
148,0.00047259084840593253,2.098804681393173e-08,0.0,9.44278146563771e-08,2.2501507219473206e-07,0.0,0.0,7.649157709511733e-07
149,0.0004757840298140807,5.996584803846369e-09,0.0,8.961481109344268e-08,2.197916258975804e-07,0.0,0.0,7.349328469310026e-07
150,0.0004789772112222289,0.0,0.0,8.510837761321739e-08,2.146975955893772e-07,0.0,0.0,7.049499229108318e-07
