month_index,month_label,year,month,summary_statistic,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
0,2007_1,2007,1,max_persistence_top10,9.435742592942064e-05,4.0087081364176475e-05,9.339353285732191e-05,2.810378778062688e-05,5.754302594709942e-05,8.666637777874073e-05,0.0001474273920094
1,2007_2,2007,2,max_persistence_top10,5.6208195154853575e-05,3.3312957801185913e-05,8.718418552174644e-05,3.1691693878646454e-05,4.992843590853111e-05,7.371369600471768e-05,0.0001520141879908
2,2007_3,2007,3,max_persistence_top10,7.371369600471768e-05,3.302119346679847e-05,7.824917910462856e-05,2.3401560323652702e-05,4.495392222971454e-05,7.046223224351747e-05,0.0001401639918704
3,2007_4,2007,4,max_persistence_top10,0.0001022416481353,2.746697451141108e-05,8.02186426505164e-05,2.5014060252084465e-05,4.9344945843921936e-05,7.371369600471768e-05,0.0001474273920094
4,2007_5,2007,5,max_persistence_top10,0.0001037775010377,5.1218763753911314e-05,9.468460384065513e-05,2.9783463029642784e-05,5.1666903473307584e-05,9.051412020275162e-05,0.0001752049898381
5,2007_6,2007,6,max_persistence_top10,0.0001474273920094,2.6435168115231422e-05,7.132177270571543e-05,2.4520609806005197e-05,4.0052353124528013e-05,6.842753524018066e-05,0.0001474273920094
6,2007_7,2007,7,max_persistence_top10,6.98202129516495e-05,5.0908566592705826e-05,9.795759455224423e-05,3.56672896674271e-05,5.0671395996959714e-05,8.804366966015144e-05,0.0002039567611666
7,2007_8,2007,8,max_persistence_top10,8.470269354565475e-05,2.6599109127349644e-05,7.637561366225312e-05,2.255227978616768e-05,4.6970461254376964e-05,7.008199593524424e-05,0.0001474273920094
8,2007_9,2007,9,max_persistence_top10,0.0001019783805833,3.474429465542368e-05,8.433288344986635e-05,2.9446329869942944e-05,4.9344945843921936e-05,7.371369600471768e-05,0.0001474273920094
9,2007_10,2007,10,max_persistence_top10,6.798558705554423e-05,5.661325879669788e-05,0.0001058127976819187,3.4465028525336745e-05,6.655441313908055e-05,9.868989168784389e-05,0.0002039567611666
10,2007_11,2007,11,max_persistence_top10,8.990784445942908e-05,3.55999259639853e-05,7.845056742720233e-05,2.180134460574216e-05,4.717871296471032e-05,7.131243403599852e-05,0.0001474273920094
11,2007_12,2007,12,max_persistence_top10,0.0001752049898381,0.0001018257422825,0.0001332324847158142,4.660628351943537e-05,6.842753524018066e-05,0.00012577825294,0.0002515565058801
12,2008_1,2008,1,max_persistence_top10,6.318476488948985e-05,3.487656133553484e-05,7.872627896810303e-05,2.420022795809841e-05,4.6886721680420107e-05,7.125347096018446e-05,0.0001486767766874
13,2008_2,2008,2,max_persistence_top10,0.0001507658907248,7.335032216273636e-05,0.0001311476286757397,3.8724066650363455e-05,7.43383883437407e-05,0.00012241815753215,0.0002173913043478
14,2008_3,2008,3,max_persistence_top10,6.792324673119375e-05,3.468722350009776e-05,8.689808047792719e-05,2.661474209947882e-05,5.0952499684281083e-05,7.4510096118024e-05,0.0001486767766874
15,2008_4,2008,4,max_persistence_top10,7.43383883437407e-05,3.138411834542773e-05,8.830287604260759e-05,2.9326173230080227e-05,5.0955414012738855e-05,7.43549706297866e-05,0.0001486767766874
