month_label,year,month,date,month_index,observed_n_h1,observed_max_h1,observed_total_h1,fitted_n_h1,fitted_max_h1,fitted_total_h1
2008_3,2008,3,2008-03-01,14,14.0,6.792324673119375e-05,0.0003174148396137,12,3.468722350009776e-05,0.0001310541397689
2008_4,2008,4,2008-04-01,15,14.0,7.43383883437407e-05,0.0003524447603841,15,3.138411834542773e-05,0.0001067059084151
2008_5,2008,5,2008-05-01,16,14.0,0.000104580631667,0.0003969710305979,13,5.648859026007486e-05,0.0001864742221836
2008_6,2008,6,2008-06-01,17,17.0,6.824541049614414e-05,0.0003629529318999,14,4.084759114140282e-05,0.0001184424438435
2008_7,2008,7,2008-07-01,18,15.0,9.37734433608402e-05,0.0003539157562323,13,4.202622802613013e-05,0.0001053419052281
2008_8,2008,8,2008-08-01,19,16.0,6.824541049614414e-05,0.0003148317970981,14,3.415934032938344e-05,9.138089074146626e-05
2008_9,2008,9,2008-09-01,20,17.0,6.43707756678468e-05,0.0003549352029409,14,3.258796976733273e-05,0.0001195957303346
2008_10,2008,10,2008-10-01,21,13.0,0.0001486767766874,0.0003141070068078,13,3.700500913746379e-05,0.0001050835744288
2008_11,2008,11,2008-11-01,22,14.0,6.306760847628658e-05,0.000307137086167,11,3.445287586405379e-05,0.000107786047689
2008_12,2008,12,2008-12-01,23,17.0,6.864988558352403e-05,0.0004407498965995,16,3.365253376433884e-05,0.0001214419834615
2009_1,2009,1,2009-01-01,24,11.0,0.0001052631578947,0.0003577341865334,13,5.650594518807528e-05,0.0001833220891497
2009_2,2009,2,2009-02-01,25,14.0,7.421701053881549e-05,0.0003254807175257,12,3.892893364255567e-05,0.0001388169147509
2009_3,2009,3,2009-03-01,26,12.0,7.017543859649122e-05,0.0002524897904299,13,4.939661381419393e-05,0.0001684482607781
2009_4,2009,4,2009-04-01,27,14.0,9.059338668277217e-05,0.0002455321587177,11,4.41397463649419e-05,0.000134212197351
2009_5,2009,5,2009-05-01,28,15.0,6.884207627702051e-05,0.0003301496002743,12,3.361535282019739e-05,8.942551777699941e-05
2009_6,2009,6,2009-06-01,29,15.0,4.969931911932806e-05,0.0003122521676722,13,2.622341940122745e-05,0.0001069814219125
2009_7,2009,7,2009-07-01,30,15.0,7.70594128072744e-05,0.0003396734866987,11,3.248515734980485e-05,8.379817205165312e-05
2009_8,2009,8,2009-08-01,31,11.0,6.913477825019876e-05,0.0002911001856729,14,6.147721514284193e-05,0.0001520977165409
2009_9,2009,9,2009-09-01,32,12.0,7.571837811234083e-05,0.0002533389787523,14,2.9997112256201216e-05,8.740272739029219e-05
2009_10,2009,10,2009-10-01,33,15.0,7.421701053881549e-05,0.0004285214142087,12,2.386312059347714e-05,8.182598066816745e-05
2009_11,2009,11,2009-11-01,34,13.0,7.421701053881549e-05,0.0003103153618315,15,2.22483503505524e-05,9.237997379858894e-05
2009_12,2009,12,2009-12-01,35,14.0,7.421701053881549e-05,0.0003050160391494,12,3.718668045085705e-05,0.0001022941756146
2010_1,2010,1,2010-01-01,36,13.0,8.914244963451596e-05,0.000354097501448,12,3.741828294510177e-05,0.0001044077725831
2010_2,2010,2,2010-02-01,37,11.0,7.47328301322771e-05,0.0003218978010018,14,4.836320089990736e-05,0.0001508447303062
2010_3,2010,3,2010-03-01,38,12.0,0.0001150119324879,0.0004940979701069,14,4.3050946646018216e-05,0.0001286268019123
2010_4,2010,4,2010-04-01,39,13.0,8.625894936599672e-05,0.0003686549999581,13,5.126831392306137e-05,0.00019309830146
2010_5,2010,5,2010-05-01,40,13.0,0.0001022442615408,0.0004926954857028,13,6.488037628646783e-05,0.0002372572182308
2010_6,2010,6,2010-06-01,41,14.0,0.0001265582484338,0.0003762622089527,12,3.587061412503934e-05,0.0001046453533751
2010_7,2010,7,2010-07-01,42,15.0,9.982281450425494e-05,0.0004052560760385,14,4.5597151203793454e-05,0.0001331886851063
2010_8,2010,8,2010-08-01,43,13.0,8.787456533473933e-05,0.0003752160617691,14,3.4218550174800286e-05,9.239425813012356e-05
2010_9,2010,9,2010-09-01,44,12.0,0.0001533663923112,0.000372253746807,14,5.885212292245861e-05,0.0002158403264712
2010_10,2010,10,2010-10-01,45,15.0,9.379103357719002e-05,0.0004078268117032,14,3.954399378630272e-05,0.0001399055273841
2010_11,2010,11,2010-11-01,46,16.0,6.657789613848202e-05,0.0002476968724722,12,2.986281627554936e-05,9.618333303330804e-05
2010_12,2010,12,2010-12-01,47,13.0,4.553664941333617e-05,0.0002514197953566,13,4.1725823063120986e-05,0.0001157704684521
2011_1,2011,1,2011-01-01,48,17.0,0.0001056672889295,0.0004743741443537,14,5.646855949648285e-05,0.0001691833774076
2011_2,2011,2,2011-02-01,49,15.0,6.91403549204886e-05,0.0003382478291873,14,5.028775238497134e-05,0.0001394812579351
2011_3,2011,3,2011-03-01,50,15.0,5.040449608105043e-05,0.0003323555458018,13,3.29745423091772e-05,0.0001017168220428
2011_4,2011,4,2011-04-01,51,15.0,0.0001408897185727,0.0003741483566054,13,5.367441433633434e-05,0.0001568045579413
2011_5,2011,5,2011-05-01,52,14.0,7.96833913251348e-05,0.0003840040565673,13,4.510943166229409e-05,0.0002163363752224
