month_index,month_label,year,month,filtration_type,homology_dimension,dimension,pair_id_within_month_dimension,birth,death,persistence,finite,birth_internal,death_internal,persistence_internal,c_hat,band,significant,persistence_over_band
127,2017_8,2017,8,superlevel,1,1,8,0.0001191286589516,0.0,0.0001191286589516,True,-0.0001191286589516,-0.0,0.0001191286589516,9.623995507482692e-05,0.00019247991014965384,False,0.6189147680865864
128,2017_9,2017,9,superlevel,1,1,0,3.9288964044311666e-05,3.0496172730322345e-05,8.79279131398932e-06,True,-3.9288964044311666e-05,-3.0496172730322345e-05,8.79279131398932e-06,0.00010769628816810345,0.0002153925763362069,False,0.040822165106863414
128,2017_9,2017,9,superlevel,1,1,1,2.3772167546236862e-05,1.2103826624787426e-05,1.1668340921449436e-05,True,-2.3772167546236862e-05,-1.2103826624787426e-05,1.1668340921449436e-05,0.00010769628816810345,0.0002153925763362069,False,0.05417243769458557
128,2017_9,2017,9,superlevel,1,1,2,1.157943492357573e-05,1.1480858538601516e-05,9.857638497421335e-08,True,-1.157943492357573e-05,-1.1480858538601516e-05,9.857638497421335e-08,0.00010769628816810345,0.0002153925763362069,False,0.00045765915729772033
128,2017_9,2017,9,superlevel,1,1,3,1.6238774946818013e-05,0.0,1.6238774946818013e-05,True,-1.6238774946818013e-05,-0.0,1.6238774946818013e-05,0.00010769628816810345,0.0002153925763362069,False,0.07539152566461187
128,2017_9,2017,9,superlevel,1,1,4,2.929365020185988e-05,0.0,2.929365020185988e-05,True,-2.929365020185988e-05,-0.0,2.929365020185988e-05,0.00010769628816810345,0.0002153925763362069,False,0.1360012062631877
128,2017_9,2017,9,superlevel,1,1,5,2.6946914578280787e-05,0.0,2.6946914578280787e-05,True,-2.6946914578280787e-05,-0.0,2.6946914578280787e-05,0.00010769628816810345,0.0002153925763362069,False,0.12510605071281225
128,2017_9,2017,9,superlevel,1,1,6,3.121894365500986e-05,0.0,3.121894365500986e-05,True,-3.121894365500986e-05,-0.0,3.121894365500986e-05,0.00010769628816810345,0.0002153925763362069,False,0.14493973834214285
128,2017_9,2017,9,superlevel,1,1,7,3.109597773527994e-05,0.0,3.109597773527994e-05,True,-3.109597773527994e-05,-0.0,3.109597773527994e-05,0.00010769628816810345,0.0002153925763362069,False,0.14436884624445986
128,2017_9,2017,9,superlevel,1,1,8,1.97852313140856e-05,0.0,1.97852313140856e-05,True,-1.97852313140856e-05,-0.0,1.97852313140856e-05,0.00010769628816810345,0.0002153925763362069,False,0.09185660736609035
128,2017_9,2017,9,superlevel,1,1,9,2.6304367840279877e-05,0.0,2.6304367840279877e-05,True,-2.6304367840279877e-05,-0.0,2.6304367840279877e-05,0.00010769628816810345,0.0002153925763362069,False,0.12212290826226671
128,2017_9,2017,9,superlevel,1,1,10,0.0001324288930415,0.0,0.0001324288930415,True,-0.0001324288930415,-0.0,0.0001324288930415,0.00010769628816810345,0.0002153925763362069,False,0.6148257070605411
129,2017_10,2017,10,superlevel,1,1,0,3.3640584000538246e-05,2.6304367840279877e-05,7.336216160258369e-06,True,-3.3640584000538246e-05,-2.6304367840279877e-05,7.336216160258369e-06,9.71429477929135e-05,0.000194285895585827,False,0.03775990088285925
129,2017_10,2017,10,superlevel,1,1,1,2.4207653249574853e-05,1.7196608828738973e-05,7.01104442083588e-06,True,-2.4207653249574853e-05,-1.7196608828738973e-05,7.01104442083588e-06,9.71429477929135e-05,0.000194285895585827,False,0.03608622437411422
129,2017_10,2017,10,superlevel,1,1,2,3.319385766105014e-05,1.6707507239919803e-05,1.648635042113034e-05,True,-3.319385766105014e-05,-1.6707507239919803e-05,1.648635042113034e-05,9.71429477929135e-05,0.000194285895585827,False,0.0848561362183257
129,2017_10,2017,10,superlevel,1,1,3,1.3315295546299946e-05,6.178025997133396e-06,7.13726954916655e-06,True,-1.3315295546299946e-05,-6.178025997133396e-06,7.13726954916655e-06,9.71429477929135e-05,0.000194285895585827,False,0.03673591192837576
129,2017_10,2017,10,superlevel,1,1,4,1.6935661422256845e-05,4.9463078285214e-06,1.1989353593735444e-05,True,-1.6935661422256845e-05,-4.9463078285214e-06,1.1989353593735444e-05,9.71429477929135e-05,0.000194285895585827,False,0.06170985061774118
129,2017_10,2017,10,superlevel,1,1,5,1.3315295546299946e-05,0.0,1.3315295546299946e-05,True,-1.3315295546299946e-05,-0.0,1.3315295546299946e-05,9.71429477929135e-05,0.000194285895585827,False,0.06853454547562786
129,2017_10,2017,10,superlevel,1,1,6,1.157943492357573e-05,0.0,1.157943492357573e-05,True,-1.157943492357573e-05,-0.0,1.157943492357573e-05,9.71429477929135e-05,0.000194285895585827,False,0.05959997707842071
129,2017_10,2017,10,superlevel,1,1,7,9.690391976355444e-06,0.0,9.690391976355444e-06,True,-9.690391976355444e-06,-0.0,9.690391976355444e-06,9.71429477929135e-05,0.000194285895585827,False,0.04987697098204771
129,2017_10,2017,10,superlevel,1,1,8,1.7221287807902277e-05,0.0,1.7221287807902277e-05,True,-1.7221287807902277e-05,-0.0,1.7221287807902277e-05,9.71429477929135e-05,0.000194285895585827,False,0.08863889864972038
129,2017_10,2017,10,superlevel,1,1,9,0.0001895959236876,0.0,0.0001895959236876,True,-0.0001895959236876,-0.0,0.0001895959236876,9.71429477929135e-05,0.000194285895585827,False,0.9758604612852342
130,2017_11,2017,11,superlevel,1,1,0,2.0577401897236454e-05,1.883416517562859e-05,1.743236721607865e-06,True,-2.0577401897236454e-05,-1.883416517562859e-05,1.743236721607865e-06,0.00013235034674449113,0.00026470069348898226,False,0.006585690043461954
130,2017_11,2017,11,superlevel,1,1,1,2.4350095939378003e-05,1.2103826624787426e-05,1.2246269314590576e-05,True,-2.4350095939378003e-05,-1.2103826624787426e-05,1.2246269314590576e-05,0.00013235034674449113,0.00026470069348898226,False,0.04626459097320162
130,2017_11,2017,11,superlevel,1,1,2,2.2129238440700098e-05,6.178025997133396e-06,1.5951212443566703e-05,True,-2.2129238440700098e-05,-6.178025997133396e-06,1.5951212443566703e-05,0.00013235034674449113,0.00026470069348898226,False,0.06026131716285302
130,2017_11,2017,11,superlevel,1,1,3,2.3281260913091052e-05,0.0,2.3281260913091052e-05,True,-2.3281260913091052e-05,-0.0,2.3281260913091052e-05,0.00013235034674449113,0.00026470069348898226,False,0.08795315420682907
130,2017_11,2017,11,superlevel,1,1,4,2.269374787246114e-05,0.0,2.269374787246114e-05,True,-2.269374787246114e-05,-0.0,2.269374787246114e-05,0.00013235034674449113,0.00026470069348898226,False,0.08573361698958197
130,2017_11,2017,11,superlevel,1,1,5,1.6506553101581328e-05,0.0,1.6506553101581328e-05,True,-1.6506553101581328e-05,-0.0,1.6506553101581328e-05,0.00013235034674449113,0.00026470069348898226,False,0.062359311885476366
130,2017_11,2017,11,superlevel,1,1,6,1.6935661422256845e-05,0.0,1.6935661422256845e-05,True,-1.6935661422256845e-05,-0.0,1.6935661422256845e-05,0.00013235034674449113,0.00026470069348898226,False,0.06398041954114399
130,2017_11,2017,11,superlevel,1,1,7,3.0745580322828594e-05,0.0,3.0745580322828594e-05,True,-3.0745580322828594e-05,-0.0,3.0745580322828594e-05,0.00013235034674449113,0.00026470069348898226,False,0.11615224696836063
130,2017_11,2017,11,superlevel,1,1,8,1.7018379850238258e-05,0.0,1.7018379850238258e-05,True,-1.7018379850238258e-05,-0.0,1.7018379850238258e-05,0.00013235034674449113,0.00026470069348898226,False,0.06429291750588716
130,2017_11,2017,11,superlevel,1,1,9,2.315886984715146e-05,0.0,2.315886984715146e-05,True,-2.315886984715146e-05,-0.0,2.315886984715146e-05,0.00013235034674449113,0.00026470069348898226,False,0.08749077889406968
130,2017_11,2017,11,superlevel,1,1,10,1.8881462180431253e-05,0.0,1.8881462180431253e-05,True,-1.8881462180431253e-05,-0.0,1.8881462180431253e-05,0.00013235034674449113,0.00026470069348898226,False,0.07133136650137702
130,2017_11,2017,11,superlevel,1,1,11,0.0001350712500844,0.0,0.0001350712500844,True,-0.0001350712500844,-0.0,0.0001350712500844,0.00013235034674449113,0.00026470069348898226,False,0.5102791696691271
131,2017_12,2017,12,superlevel,1,1,0,4.6562521826182104e-05,4.577182744021055e-05,7.906943859715512e-07,True,-4.6562521826182104e-05,-4.577182744021055e-05,7.906943859715512e-07,0.00012025007692528764,0.00024050015385057528,False,0.0032877084413959093
131,2017_12,2017,12,superlevel,1,1,1,2.6946914578280787e-05,2.336448598130841e-05,3.5824285969723766e-06,True,-2.6946914578280787e-05,-2.336448598130841e-05,3.5824285969723766e-06,0.00012025007692528764,0.00024050015385057528,False,0.01489574347298825
131,2017_12,2017,12,superlevel,1,1,2,3.0745580322828594e-05,1.322244112708088e-05,1.7523139195747717e-05,True,-3.0745580322828594e-05,-1.322244112708088e-05,1.7523139195747717e-05,0.00012025007692528764,0.00024050015385057528,False,0.07286123902704439
131,2017_12,2017,12,superlevel,1,1,3,2.1304472874079915e-05,1.2356051994266792e-05,8.948420879813123e-06,True,-2.1304472874079915e-05,-1.2356051994266792e-05,8.948420879813123e-06,0.00012025007692528764,0.00024050015385057528,False,0.03720754742374448
131,2017_12,2017,12,superlevel,1,1,4,1.708540137879189e-05,1.1138338159946536e-05,5.9470632188453545e-06,True,-1.708540137879189e-05,-1.1138338159946536e-05,5.9470632188453545e-06,0.00012025007692528764,0.00024050015385057528,False,0.02472789777315616
131,2017_12,2017,12,superlevel,1,1,5,1.9212664988760592e-05,0.0,1.9212664988760592e-05,True,-1.9212664988760592e-05,-0.0,1.9212664988760592e-05,0.00012025007692528764,0.00024050015385057528,False,0.07988628980544261
131,2017_12,2017,12,superlevel,1,1,6,2.9071175929066332e-05,0.0,2.9071175929066332e-05,True,-2.9071175929066332e-05,-0.0,2.9071175929066332e-05,0.00012025007692528764,0.00024050015385057528,False,0.12087799306410628
131,2017_12,2017,12,superlevel,1,1,7,1.1480858538601516e-05,0.0,1.1480858538601516e-05,True,-1.1480858538601516e-05,-0.0,1.1480858538601516e-05,0.00012025007692528764,0.00024050015385057528,False,0.04773742700278964
131,2017_12,2017,12,superlevel,1,1,8,1.97852313140856e-05,0.0,1.97852313140856e-05,True,-1.97852313140856e-05,-0.0,1.97852313140856e-05,0.00012025007692528764,0.00024050015385057528,False,0.08226702144389615
131,2017_12,2017,12,superlevel,1,1,9,1.97852313140856e-05,0.0,1.97852313140856e-05,True,-1.97852313140856e-05,-0.0,1.97852313140856e-05,0.00012025007692528764,0.00024050015385057528,False,0.08226702144389615
131,2017_12,2017,12,superlevel,1,1,10,1.4648365974775514e-05,0.0,1.4648365974775514e-05,True,-1.4648365974775514e-05,-0.0,1.4648365974775514e-05,0.00012025007692528764,0.00024050015385057528,False,0.0609079276675917
131,2017_12,2017,12,superlevel,1,1,11,3.0008956519330384e-05,0.0,3.0008956519330384e-05,True,-3.0008956519330384e-05,-0.0,3.0008956519330384e-05,0.00012025007692528764,0.00024050015385057528,False,0.12477728616329782
131,2017_12,2017,12,superlevel,1,1,12,0.0001188608377311,0.0,0.0001188608377311,True,-0.0001188608377311,-0.0,0.0001188608377311,0.00012025007692528764,0.00024050015385057528,False,0.49422354134937146
132,2018_1,2018,1,superlevel,1,1,0,3.143500812071043e-05,3.054429941558574e-05,8.907087051246895e-07,True,-3.143500812071043e-05,-3.054429941558574e-05,8.907087051246895e-07,9.855906136032683e-05,0.00019711812272065366,False,0.004518654565247454
132,2018_1,2018,1,superlevel,1,1,1,2.372197841299965e-05,2.284252364201197e-05,8.794547709876792e-07,True,-2.372197841299965e-05,-2.284252364201197e-05,8.794547709876792e-07,9.855906136032683e-05,0.00019711812272065366,False,0.004461562229029547
132,2018_1,2018,1,superlevel,1,1,2,2.372197841299965e-05,1.6927132924543072e-05,6.794845488456577e-06,True,-2.372197841299965e-05,-1.6927132924543072e-05,6.794845488456577e-06,9.855906136032683e-05,0.00019711812272065366,False,0.03447093242708031
132,2018_1,2018,1,superlevel,1,1,3,2.9133353595449528e-05,1.318565400843882e-05,1.5947699587010706e-05,True,-2.9133353595449528e-05,-1.318565400843882e-05,1.5947699587010706e-05,9.855906136032683e-05,0.00019711812272065366,False,0.08090427895161634
132,2018_1,2018,1,superlevel,1,1,4,1.808220168887764e-05,7.600690142664954e-06,1.0481511546212684e-05,True,-1.808220168887764e-05,-7.600690142664954e-06,1.0481511546212684e-05,9.855906136032683e-05,0.00019711812272065366,False,0.053173758970232174
132,2018_1,2018,1,superlevel,1,1,5,1.3323917764779556e-05,0.0,1.3323917764779556e-05,True,-1.3323917764779556e-05,-0.0,1.3323917764779556e-05,9.855906136032683e-05,0.00019711812272065366,False,0.06759357070207883
132,2018_1,2018,1,superlevel,1,1,6,2.6912105064858173e-05,0.0,2.6912105064858173e-05,True,-2.6912105064858173e-05,-0.0,2.6912105064858173e-05,9.855906136032683e-05,0.00019711812272065366,False,0.13652780725289637
132,2018_1,2018,1,superlevel,1,1,7,2.4133409487647716e-05,0.0,2.4133409487647716e-05,True,-2.4133409487647716e-05,-0.0,2.4133409487647716e-05,9.855906136032683e-05,0.00019711812272065366,False,0.12243120599240094
132,2018_1,2018,1,superlevel,1,1,8,1.5850372483753367e-05,0.0,1.5850372483753367e-05,True,-1.5850372483753367e-05,-0.0,1.5850372483753367e-05,9.855906136032683e-05,0.00019711812272065366,False,0.08041052879859126
132,2018_1,2018,1,superlevel,1,1,9,2.5853488281906435e-05,0.0,2.5853488281906435e-05,True,-2.5853488281906435e-05,-0.0,2.5853488281906435e-05,9.855906136032683e-05,0.00019711812272065366,False,0.13115733817404884
132,2018_1,2018,1,superlevel,1,1,10,1.9262008256980873e-05,0.0,1.9262008256980873e-05,True,-1.9262008256980873e-05,-0.0,1.9262008256980873e-05,9.855906136032683e-05,0.00019711812272065366,False,0.09771809913326979
