date,month_label,month_index,year,month,source,h1_point_count,max_h1_persistence,top_ranked_total_persistence
2015-05-01,2015_5,100,2015,5,observed,14,9.49480342105071e-05,0.0003894990822268785
2015-06-01,2015_6,101,2015,6,observed,14,9.552010698251981e-05,0.0003787588885405567
2015-07-01,2015_7,102,2015,7,observed,14,0.0001002004008016032,0.0004673245689751311
2015-08-01,2015_8,103,2015,8,observed,16,0.00020938023450586265,0.0005637231740666963
2015-09-01,2015_9,104,2015,9,observed,14,0.00013237143424449003,0.000482946904852006
2015-10-01,2015_10,105,2015,10,observed,14,9.129293620906083e-05,0.00031475232594645284
2015-11-01,2015_11,106,2015,11,observed,14,7.753440589261485e-05,0.00032237498468093694
2015-12-01,2015_12,107,2015,12,observed,14,0.0002776717226059491,0.0005366176992266479
2016-01-01,2016_1,108,2016,1,observed,16,0.00017496282040066485,0.00044980073498545155
2016-02-01,2016_2,109,2016,2,observed,15,9.196489568553261e-05,0.0003828750539473499
2016-03-01,2016_3,110,2016,3,observed,11,0.00012332585156500506,0.0004371011589588335
2016-04-01,2016_4,111,2016,4,observed,16,0.00012123563357742108,0.0003276772615777074
2016-05-01,2016_5,112,2016,5,observed,10,9.885493038965319e-05,0.00042072342579939386
2016-06-01,2016_6,113,2016,6,observed,15,9.295840111550081e-05,0.0005130016894420301
2016-07-01,2016_7,114,2016,7,observed,16,0.00010514417895539259,0.0005400402317760328
2016-08-01,2016_8,115,2016,8,observed,15,8.88946356128073e-05,0.00046318041108800743
2016-09-01,2016_9,116,2016,9,observed,17,0.000134455072797818,0.0005447657707731562
2016-10-01,2016_10,117,2016,10,observed,18,8.88946356128073e-05,0.000444905252540972
2016-11-01,2016_11,118,2016,11,observed,15,0.00010064243420500863,0.0004696719240893909
2016-12-01,2016_12,119,2016,12,observed,16,0.00013287712188154004,0.0005396444700330248
2017-01-01,2017_1,120,2017,1,observed,13,0.00024189646831156264,0.0005178706618406363
2017-02-01,2017_2,121,2017,2,observed,14,0.00027645310664178586,0.0008243818370588878
2017-03-01,2017_3,122,2017,3,observed,13,0.00011527598993256354,0.00047193937915299524
2017-04-01,2017_4,123,2017,4,observed,13,0.0001810216863980305,0.0005717693401250756
2017-05-01,2017_5,124,2017,5,observed,14,0.00014744472689130525,0.0004946221566160385
2017-06-01,2017_6,125,2017,6,observed,16,0.00010399064084232419,0.000554201793888321
2017-07-01,2017_7,126,2017,7,observed,17,0.0001445452245871427,0.0004995383968325888
2017-08-01,2017_8,127,2017,8,observed,14,0.0001191286589516678,0.00043957279002067545
2017-09-01,2017_9,128,2017,9,observed,13,0.00013242889304159738,0.0004898499851661494
2017-10-01,2017_10,129,2017,10,observed,15,0.00018959592368764073,0.0005638265084049641
2017-11-01,2017_11,130,2017,11,observed,18,0.00013507125008441954,0.0004829092066931158
2017-12-01,2017_12,131,2017,12,observed,15,0.00011886083773118433,0.0004500882849415364
2018-01-01,2018_1,132,2018,1,observed,13,0.00012244698045746192,0.0004026672619728561
2018-02-01,2018_2,133,2018,2,observed,14,0.00014608670245790876,0.0004392234833161118
2018-03-01,2018_3,134,2018,3,observed,11,0.0002266237592349182,0.0005936538694307248
2018-04-01,2018_4,135,2018,4,observed,15,0.00011910433539780847,0.0004971261911587308
2018-05-01,2018_5,136,2018,5,observed,13,8.841732979664014e-05,0.00036864299456067326
2018-06-01,2018_6,137,2018,6,observed,16,0.00021205909380080584,0.0006687169426096331
2018-07-01,2018_7,138,2018,7,observed,15,0.000135800373451027,0.00039852839971685287
2018-08-01,2018_8,139,2018,8,observed,15,9.137009456804788e-05,0.0003500775402481639
2018-09-01,2018_9,140,2018,9,observed,16,0.00010956502684343158,0.0003899895412827981
2018-10-01,2018_10,141,2018,10,observed,12,7.356727727506805e-05,0.0003558705268568017
2018-11-01,2018_11,142,2018,11,observed,13,9.137009456804788e-05,0.0004113348935029257
2018-12-01,2018_12,143,2018,12,observed,15,0.00010850302000072336,0.00044917310248739756
2019-01-01,2019_1,144,2019,1,observed,13,0.00013657004336098877,0.0005044811872424795
2019-02-01,2019_2,145,2019,2,observed,13,0.0001452116459740071,0.000476713919162864
2019-03-01,2019_3,146,2019,3,observed,18,0.0001555330896648262,0.0005120361828716757
2019-04-01,2019_4,147,2019,4,observed,13,0.00017437025511709634,0.0005466203272887773
2019-05-01,2019_5,148,2019,5,observed,15,0.00013401831583649765,0.00038872600437995776
2019-06-01,2019_6,149,2019,6,observed,16,0.00014709667929246499,0.0004742794523394653
2019-07-01,2019_7,150,2019,7,observed,12,0.00010242753252074157,0.0004160888970813453
2019-08-01,2019_8,151,2019,8,observed,17,0.00010406549188289164,0.0005261067461751045
2019-09-01,2019_9,152,2019,9,observed,16,0.00010242753252074157,0.00036065585673952013
2019-10-01,2019_10,153,2019,10,observed,13,7.651251327376178e-05,0.0003623470062187569
2019-11-01,2019_11,154,2019,11,observed,15,0.00013657004336098877,0.0005656895464906957
2019-12-01,2019_12,155,2019,12,observed,13,0.00011920168925822492,0.00039260422081933516
2020-01-01,2020_1,156,2020,1,observed,16,0.00011448721177844435,0.00045233789585296546
2020-02-01,2020_2,157,2020,2,observed,13,0.00027077034162191434,0.0007465964931635302
2020-03-01,2020_3,158,2020,3,observed,15,0.0001562377939223498,0.0004106445074856654
2020-04-01,2020_4,159,2020,4,observed,18,0.0001380167000207025,0.0005491012257558851
2020-05-01,2020_5,160,2020,5,observed,15,0.00022163120567375886,0.0007108323205154966
2020-06-01,2020_6,161,2020,6,observed,13,0.00014895460946809662,0.000522416182690869
2020-07-01,2020_7,162,2020,7,observed,15,0.0001562377939223498,0.0005358055985107578
2020-08-01,2020_8,163,2020,8,observed,13,0.0001457725947521866,0.0005355364474205943
2020-09-01,2020_9,164,2020,9,observed,16,0.00014775413711583924,0.0004675271843274946
2020-10-01,2020_10,165,2020,10,observed,14,0.0001562377939223498,0.0005381530464712321
2020-11-01,2020_11,166,2020,11,observed,14,0.00013683166284678274,0.00043317385044921373
2020-12-01,2020_12,167,2020,12,observed,16,0.00023945540998186981,0.0008638133719579808
2021-01-01,2021_1,168,2021,1,observed,15,0.00022644927536231884,0.0005263563837551451
2021-02-01,2021_2,169,2021,2,observed,14,0.00010879814317835642,0.00043327331259525434
2021-03-01,2021_3,170,2021,3,observed,14,0.0001144269498352252,0.00047147958369486926
2021-04-01,2021_4,171,2021,4,observed,16,0.00018439411168136698,0.00046908256492203635
2021-05-01,2021_5,172,2021,5,observed,15,0.00013935340022296544,0.0004468208393279292
2021-06-01,2021_6,173,2021,6,observed,17,0.00013833171946327292,0.0006351388627755316
2021-07-01,2021_7,174,2021,7,observed,16,0.00018117583114412537,0.0006107046108702139
2021-08-01,2021_8,175,2021,8,observed,18,0.00015744312367157364,0.0005260126101497245
