model,evaluation_type,model_family,n_months,top1_hits,top3_hits,top5_hits,top1_accuracy,top3_accuracy,top5_accuracy,mean_probability_assigned_to_actual_county,median_probability_assigned_to_actual_county,multiclass_log_loss,multiclass_brier_score,top_five_list_changes_over_year,n_unique_top_five_lists,n_distinct_counties_in_top_five_lists
hybrid_longrun_0.5_ew_0.85,one_step_actual_lags,hybrid_ew,12,0,2,5,0.0,0.16666666666666666,0.4166666666666667,0.055878983502984,0.050306975043619015,4.125065785736552,0.9673992494262466,True,12,9
hybrid_longrun_0.5_ew_0.8,one_step_actual_lags,hybrid_ew,12,0,3,4,0.0,0.25,0.3333333333333333,0.05239186872203527,0.04383897186076276,4.167163892027744,0.9799265146700101,True,12,9
hybrid_longrun_0.25_ew_0.875,one_step_actual_lags,hybrid_ew,12,0,3,4,0.0,0.25,0.3333333333333333,0.05893732783291481,0.05302240782231618,4.197795750881252,0.9849071377639627,True,12,10
ew_frequency_lambda_0.9,one_step_actual_lags,ew_frequency,12,0,3,4,0.0,0.25,0.3333333333333333,0.0643703895886867,0.058852822736316326,4.737218580592847,0.9975188790764627,True,12,10
ew_frequency_lambda_0.875,one_step_actual_lags,ew_frequency,12,0,3,4,0.0,0.25,0.3333333333333333,0.05993455890389327,0.05236462666261229,5.075223033193858,1.0165641369103653,True,12,10
hybrid_longrun_0.25_ew_0.85,one_step_actual_lags,hybrid_ew,12,0,2,4,0.0,0.16666666666666666,0.3333333333333333,0.05584565794448628,0.04796258691471461,4.251360085616465,0.9968927266214042,True,12,10
hybrid_longrun_0.25_ew_0.8,one_step_actual_lags,hybrid_ew,12,0,2,4,0.0,0.16666666666666666,0.3333333333333333,0.05061498577306322,0.038260582140430224,4.348752892970922,1.0202873286302616,True,12,10
ew_frequency_lambda_0.85,one_step_actual_lags,ew_frequency,12,0,2,4,0.0,0.16666666666666666,0.3333333333333333,0.05581233238598857,0.04561819878581021,5.359091345549001,1.0352533682418168,True,12,10
ew_frequency_lambda_0.8,one_step_actual_lags,ew_frequency,12,0,1,4,0.0,0.08333333333333333,0.3333333333333333,0.048838102824091144,0.031008645238733673,5.772297733457939,1.0725844431112435,True,12,10
rolling_frequency_12m,one_step_actual_lags,rolling_frequency,12,0,0,3,0.0,0.0,0.25,0.048610837964966035,0.04166644444607406,9.334906538696805,1.0590261990934426,True,9,8
