predicted,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95,model,target,train_end,holdout_year,horizon,date,observed
4.514125915018905e-05,4.449480252194246e-05,4.5852297517234896e-05,4.384558659560592e-05,4.7086583980471236e-05,4.3213901467343665e-05,4.953818548219517e-05,4.113800815025377e-05,5.388335202312855e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,4,2022-04-01,3.5375061109142526e-05
4.592574498216647e-05,4.5270250147663405e-05,4.6633394489573975e-05,4.4567257614848116e-05,4.787106981244866e-05,4.384653499847307e-05,5.032267131417259e-05,4.192249398223119e-05,5.466783785510597e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,5,2022-05-01,3.6055350745856803e-05
4.318120838697563e-05,4.249859893370313e-05,4.3889997629429214e-05,4.1885535832392504e-05,4.516536896103313e-05,4.125385070413025e-05,4.9999320509154014e-05,3.9177957387040354e-05,5.5006222338928845e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,6,2022-06-01,3.66506041779818e-05
4.695344519657618e-05,4.631310113705369e-05,4.7662234439029766e-05,4.5657772641993056e-05,4.889877002685837e-05,4.508177641094659e-05,5.1615783603677456e-05,4.3083319609131865e-05,5.569553806951568e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,7,2022-07-01,4.107248681662461e-05
4.448206179177108e-05,4.379945233849858e-05,4.5193100158816935e-05,4.312357442445273e-05,4.642738662205327e-05,4.240285180807768e-05,4.914440019887236e-05,4.04788107918358e-05,5.6307075743724296e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,8,2022-08-01,3.903161790648177e-05
4.595814691332034e-05,4.531169028507375e-05,4.666693615577392e-05,4.4662474358737214e-05,4.794230748737784e-05,4.4030789230474956e-05,5.277625903549872e-05,4.195489591338506e-05,5.7783160865273554e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,9,2022-09-01,3.639549556421394e-05
4.4969643101853714e-05,4.4287033648581213e-05,4.563993089894218e-05,4.361115573453536e-05,4.6594067303647107e-05,4.304228541900833e-05,4.883833709839297e-05,4.096639210191844e-05,5.3711735974793216e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,10,2022-10-01,4.209292127169603e-05
4.267471454105088e-05,4.203437048152839e-05,4.337822376564006e-05,4.1379041986467754e-05,4.462003937133307e-05,4.07473568582055e-05,4.7071640873057e-05,3.8671463541115603e-05,5.141680741399038e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,11,2022-11-01,3.77560748376425e-05
4.386652714495242e-05,4.318391769167992e-05,4.45737967406779e-05,4.2338061534263816e-05,4.569847842907036e-05,4.174539474369297e-05,4.826345347695854e-05,3.983772256247944e-05,5.227179727307548e-05,stl_loess_residual_bootstrap,statewide_rate,2021-12-01,2022,12,2022-12-01,4.1157523021213896e-05
2.5686043320522443e-05,1.6152295653703814e-05,3.4354626654071106e-05,1.4086383267185301e-05,3.935325684748794e-05,1.3357740411571065e-05,4.2583113780975075e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,1,2023-01-01,3.207212664926457e-05
2.5686043320522443e-05,1.6611614737201658e-05,3.5375061109142526e-05,1.4138387578481063e-05,4.05622695890889e-05,1.3773102123995643e-05,4.404513595591874e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,2,2023-02-01,3.3769064567215074e-05
2.5686043320522443e-05,1.658649714977112e-05,3.542885699048642e-05,1.4138387578481063e-05,4.051433885514954e-05,1.346024637808651e-05,4.3093091191525674e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,3,2023-03-01,3.325998319182992e-05
2.5686043320522443e-05,1.6152295653703814e-05,3.484421780651986e-05,1.4086383267185301e-05,3.995583900063035e-05,1.346024637808651e-05,4.3093091191525674e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2022-12-01,2023,4,2023-04-01,3.648416523593589e-05
